fire_lag,climate_lag,fit_intercept,model_file,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
7,4,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_001.pkl,0.6603857548435265,0.2848061029879212,0.04322949777495232,0.6589693131871769,0.2099991214712429,0.768595041322314,0.6201736729460423,0.29120879120879123,0.054945054945054944,0.6177349152771514,0.2380838466598888,0.7417582417582418
17,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_002.pkl,0.6473529940552898,0.28598848368522073,0.04030710172744722,0.6460969249754105,0.24489412077091588,0.761996161228407,0.628970902033151,0.3021978021978022,0.038461538461538464,0.6277938400968643,0.2163148137073142,0.7307692307692307
15,5,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_003.pkl,0.648833788199176,0.2866282789507358,0.03582853486884197,0.6478438089524707,0.24143562056070633,0.761996161228407,0.6376467725891872,0.3131868131868132,0.02197802197802198,0.637267897468043,0.1945457807547396,0.7197802197802198
28,7,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_004.pkl,0.6401513996180823,0.27963917525773196,0.041237113402061855,0.6388218178109255,0.2659248114932766,0.7673969072164949,0.6245877761451069,0.3021978021978022,0.01098901098901099,0.6244910982130758,0.2271993301836015,0.728021978021978
7,3,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_005.pkl,0.6696667889685307,0.2912371134020619,0.03865979381443299,0.6685499447233902,0.19667243521905753,0.7641752577319587,0.6267831705280087,0.29945054945054944,0.04120879120879121,0.6254270368190465,0.2217570719454579,0.7335164835164835
12,7,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_006.pkl,0.6555669616729579,0.28801546391752575,0.039304123711340205,0.6543876733988784,0.23014441708493005,0.7628865979381443,0.6333236937766509,0.3131868131868132,0.01098901098901099,0.6332283495994037,0.2054302972310269,0.717032967032967
8,3,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_007.pkl,0.667257040999109,0.2931701030927835,0.04059278350515464,0.6660211593411957,0.20244346657524237,0.7603092783505154,0.6311510503450409,0.30494505494505497,0.03571428571428571,0.6301397766746413,0.2108725554691706,0.728021978021978
18,5,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_008.pkl,0.6516236659774226,0.28930412371134023,0.03801546391752577,0.6505138173513234,0.23937806725482602,0.7596649484536082,0.6311510503450409,0.31043956043956045,0.019230769230769232,0.6308580076898773,0.2108725554691706,0.7197802197802198
26,7,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_009.pkl,0.6436646049856557,0.2815721649484536,0.04059278350515464,0.6423833354303674,0.25784536759461774,0.7667525773195877,0.6201736729460423,0.2967032967032967,0.016483516483516484,0.6199545776101038,0.2380838466598888,0.7335164835164835
19,7,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_8/trial_010.pkl,0.6421612990679355,0.27963917525773196,0.04252577319587629,0.6407516622176735,0.26130798640832875,0.7686855670103093,0.6245877761451069,0.3021978021978022,0.01098901098901099,0.6244910982130758,0.2271993301836015,0.728021978021978
