fire_lag,climate_lag,fit_intercept,model_file,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
27,6,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_001.pkl,0.8396945447753217,0.3921442369607212,0.026400515132002575,0.8392794179093155,0.44646061081106414,0.708950418544752,0.977775002771065,0.521978021978022,0.01098901098901099,0.9777132492103396,0.34110107777454124,0.6373626373626373
8,3,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_002.pkl,0.8461876172458254,0.386349001931745,0.0360592401802962,0.8454189581371991,0.4378668486044779,0.7147456535737282,0.9564701588837807,0.5082417582417582,0.04120879120879121,0.9555820217868664,0.36950189338770756,0.6373626373626373
11,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_003.pkl,0.8514976768172897,0.38763683193818416,0.038634900193174504,0.8506207369399743,0.4307896326696422,0.7160334835801674,0.9550329376979163,0.510989010989011,0.02197802197802198,0.9547800158349805,0.371395281095252,0.6346153846153846
30,6,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_004.pkl,0.8351163720336883,0.39161290322580644,0.025161290322580646,0.834737242674611,0.45333235454849463,0.7083870967741935,0.970725343394151,0.5192307692307693,0.008241758241758242,0.9706903552259993,0.3505680163122634,0.6373626373626373
24,3,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_005.pkl,0.8462440736915471,0.3909677419354839,0.03096774193548387,0.8456772618543564,0.4386668950497956,0.7129032258064516,0.9535935503875115,0.5027472527472527,0.019230769230769232,0.9533996207548292,0.37328866880279643,0.6483516483516484
9,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_006.pkl,0.8519427513705973,0.3903225806451613,0.031612903225806455,0.8513560218630858,0.43108131255046855,0.712258064516129,0.9579052236951303,0.510989010989011,0.02197802197802198,0.957653060420292,0.3676085056801631,0.6373626373626373
18,7,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_007.pkl,0.8412739954877192,0.3903225806451613,0.026451612903225806,0.8408580425129375,0.44524106654921247,0.7103225806451613,0.9593381418090653,0.5027472527472527,0.013736263736263736,0.9592397955611716,0.3657151179726188,0.6510989010989011
20,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_008.pkl,0.8454813479181071,0.3896774193548387,0.027096774193548386,0.8450470250262546,0.4396783060497059,0.7129032258064516,0.9463637755136212,0.5054945054945055,0.016483516483516484,0.9462202118369344,0.3827556073405185,0.6428571428571429
16,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_009.pkl,0.8470061126336159,0.3896774193548387,0.03483870967741935,0.8462893235452768,0.4376554840498853,0.7135483870967742,0.9492622930986467,0.5054945054945055,0.016483516483516484,0.9491191678515604,0.37896883192542974,0.6428571428571429
18,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_010.pkl,0.844717933452803,0.39225806451612905,0.03096774193548387,0.8441500968762554,0.44068971704961624,0.7103225806451613,0.9550329376979163,0.5054945054945055,0.01098901098901099,0.954969713512107,0.371395281095252,0.6483516483516484
28,3,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_7/trial_011.pkl,0.8312446943803514,0.38903225806451613,0.027741935483870966,0.830781636142189,0.4583894095480461,0.7096774193548387,0.9535935503875115,0.5027472527472527,0.008241758241758242,0.9535579336158574,0.37328866880279643,0.6483516483516484
