fire_lag,climate_lag,fit_intercept,model_file,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
19,5,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_001.pkl,0.9477036543814035,0.4356181934657271,0.014093529788597053,0.9475988544452576,0.6172544874427156,0.6982703395259449,1.1094003924504583,0.6208791208791209,0.005494505494505495,1.1093867861023952,0.456562526035158,0.5851648351648352
27,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_002.pkl,0.9395783466076884,0.4320669671603348,0.004507405022537025,0.9395675349404109,0.6253938869103395,0.6999356084996781,1.1192619232097787,0.6373626373626373,-0.02197802197802198,1.1190461202726125,0.4468582854286429,0.5659340659340659
18,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_003.pkl,0.9467468956810201,0.4327108821635544,0.0180296200901481,0.9465752042395011,0.6196559376945242,0.7012234385061172,1.1131087049390052,0.6291208791208791,-0.0027472527472527475,1.1131053146999756,0.45292343580771477,0.5769230769230769
28,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_004.pkl,0.9350698744495476,0.43105670103092786,0.0006443298969072165,0.935069652454873,0.6291748475498904,0.7003865979381443,1.1155740650021828,0.6401098901098901,-0.019230769230769232,1.1154082983465234,0.45049737565608605,0.5631868131868132
26,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_005.pkl,0.9504475343036656,0.43556701030927836,0.01288659793814433,0.9503601691240527,0.6168777717501447,0.7010309278350515,1.1118739749916517,0.6263736263736264,-0.005494505494505495,1.1118603989139586,0.4541364658835292,0.5796703296703297
12,6,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_006.pkl,0.9521408325182014,0.4375,0.012242268041237113,0.9520621260304709,0.6155114299946174,0.696520618556701,1.0548162696116148,0.5851648351648352,0.019230769230769232,1.0546409531931498,0.5087228192951763,0.6016483516483516
15,7,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_007.pkl,0.9426191849496017,0.4336340206185567,0.014819587628865979,0.9425026831036407,0.6231629438255704,0.6971649484536082,1.0780018145104915,0.6071428571428571,0.008241758241758242,1.0779703082687373,0.4868882779305175,0.5824175824175825
28,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_008.pkl,0.9350698744495476,0.43105670103092786,0.0006443298969072165,0.935069652454873,0.6291748475498904,0.7003865979381443,1.1155740650021828,0.6401098901098901,-0.019230769230769232,1.1154082983465234,0.45049737565608605,0.5631868131868132
14,3,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_009.pkl,0.9528173092163408,0.43878865979381443,0.025128865979381444,0.9524858869489135,0.6149648932924066,0.6978092783505154,1.0843542667524189,0.6043956043956044,0.01098901098901099,1.0842985831687042,0.4808231275514455,0.5879120879120879
19,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_2/trial_010.pkl,0.9443265204999739,0.43170103092783507,0.019329896907216496,0.9441286630566535,0.621796602070043,0.7016752577319587,1.1131087049390052,0.6291208791208791,-0.0027472527472527475,1.1131053146999756,0.45292343580771477,0.5769230769230769
