fire_lag,climate_lag,constant_value,length_scale,alpha,model_file,train_size,val_size,test_size,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,train_mean_prediction_std,train_max_prediction_std,train_min_prediction_std,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,val_mean_prediction_std,val_max_prediction_std,val_min_prediction_std
9,4,1.7464799949787488,24.796415147085206,0.02145335518999825,models/regional/trial_046.pkl,1571,364,487,0.5114849016178954,0.20432845321451304,0.009548058561425843,0.5113957754623866,0.9920234720657527,0.8198599618077658,0.7393057375414532,0.8280399133355315,0.453428442920608,3.1378581622109447,2.043956043956044,0.4010989010989011,3.112117208218723,0.760414212256785,0.2664835164835165,2.449805680793654,5.171527633077767,0.6228241105879041
19,3,1.7299075018751162,1.105613539219895,0.03910313358302254,models/regional/trial_047.pkl,1561,364,487,0.21625192322503536,0.04676489429852659,0.04676489429852659,0.2111348833323717,0.9985811416564573,0.9532351057014734,1.1128448713326038,1.1128448713327037,1.1128448712701444,6.640907193422323,4.563186813186813,1.7335164835164836,6.410660570723191,-0.07312239136211773,0.038461538461538464,5.627672904603413,5.627672904603413,5.6276729046033935
21,5,4.287774111302612,47.908564402123986,0.09954272668032212,models/regional/trial_048.pkl,1559,364,487,1.654779072282116,0.967928159076331,0.010904425914047467,1.654743143680718,0.9169904730830265,0.47209749839640797,0.7825161786353212,1.676062574441976,0.2853901534267017,2.6191391925382868,1.6895604395604396,0.04120879120879121,2.618814988772063,0.8330787633943059,0.3131868131868132,1.1639798991024386,3.806853561789385,0.302451568248488
24,6,1.632488570213235,15.538683449233647,0.09687406556041897,models/regional/trial_049.pkl,1556,364,487,1.6407801141632046,0.9466580976863753,0.0019280205655526992,1.6407789813896685,0.9184936214765514,0.4839331619537275,0.8177155733875383,1.6565557777757411,0.3137686375081064,2.6285624701232915,1.7115384615384615,0.11813186813186813,2.6259066093584393,0.8318754865585419,0.2967032967032967,1.2349152622714605,3.6644700764456917,0.31828722404987975
25,7,0.7034799576175066,16.366635678716733,0.005109219492668961,models/regional/trial_050.pkl,1555,364,487,0.09143373894445826,0.008360128617363344,0.003215434083601286,0.09137718315322134,0.9997470014572666,0.9916398713826367,0.39923179122442654,0.4095997159205464,0.33565292819001635,3.1061795904859797,2.065934065934066,0.24175824175824176,3.096757110413022,0.7652273195998407,0.24725274725274726,2.8376233915670053,5.121233256123614,0.7503532420219724
22,7,9.201932595237546,27.025180628256525,0.005782270014895584,models/regional/trial_051.pkl,1558,364,487,0.09812098580948894,0.009627727856225931,0.0019255455712451862,0.09810209034714291,0.9997082666665867,0.9903722721437741,0.4239007124381469,0.43523918684283724,0.35378735743782114,3.0431873111901955,2.019230769230769,0.2554945054945055,3.0324431682475317,0.774652988146658,0.25,2.845809358759482,5.055087723484032,0.8081666427047329
23,3,8.528291198906802,4.357545302485825,0.0068892902512381485,models/regional/trial_052.pkl,1557,364,487,0.2404235184171725,0.048811817597944764,0.00899165061014772,0.24025531924891386,0.9982492245200323,0.9556840077071291,0.44334122901342193,0.4754778213928668,0.265071675886132,3.3108214179472837,2.197802197802198,0.5274725274725275,3.268533492913941,0.733273634738999,0.21153846153846154,2.8837693162573435,6.094382184458203,0.4059988385856966
14,6,1.2868774780765295,44.62407839234244,0.024696913244083622,models/regional/trial_053.pkl,1566,364,487,0.5354603180768801,0.23180076628352492,0.014687100893997445,0.5352588544828784,0.9912777020204423,0.7918263090676884,0.7878520534596025,0.8865662663030144,0.4850489293777398,3.054001158631587,1.9642857142857142,0.22802197802197802,3.045476818900781,0.7730486190323062,0.25,2.4458145587353957,4.935172564827325,0.6229777256922285
26,3,6.231876952287821,21.54202085145775,0.058408861700193354,models/regional/trial_054.pkl,1554,364,487,1.1098018884738985,0.631917631917632,0.021879021879021878,1.109586202177122,0.9627428035452982,0.5604890604890604,0.831343675668003,1.3505514074031886,0.2662645607142889,2.937536532389151,1.9258241758241759,0.17857142857142858,2.9321038733337597,0.790028192159197,0.27472527472527475,1.8038758241297383,5.408769085725254,0.3086574435200881
23,5,9.35359195159063,11.008700771753285,0.07164756089886254,models/regional/trial_055.pkl,1557,364,487,1.327056516533195,0.7630057803468208,0.015414258188824663,1.3269669923241143,0.9466597070436498,0.5247270391779062,0.8710422422694267,1.4756604265872737,0.3292282523683317,2.691051512282558,1.7307692307692308,0.11538461538461539,2.6885766926555745,0.8237867922736846,0.31868131868131866,1.5642240314891507,4.718780673415564,0.35614094401323265
14,5,4.0182798832334194,33.912820925038595,0.030069708271896346,models/regional/trial_056.pkl,1566,364,487,0.6804138174397717,0.3212005108556833,0.018518518518518517,0.6801617656372948,0.9859161112802242,0.7318007662835249,0.8204369156872419,0.9764520388405499,0.44172044156031104,2.9197132178906333,1.8653846153846154,0.22252747252747251,2.9112208433397506,0.7925684432569208,0.27197802197802196,2.2752803786668743,5.142379560076974,0.538087133437047
17,3,0.19222302315403933,31.436803519161547,0.056343065199330716,models/regional/trial_057.pkl,1563,364,487,1.1025475066765,0.6218809980806143,0.008957133717210493,1.1025111220455506,0.963070950928796,0.5662188099808061,0.8483326035359042,1.3274108580083086,0.29876654406767483,2.9003599625025704,1.8626373626373627,0.2692307692307692,2.887837028813662,0.7953092404939386,0.2967032967032967,1.8098896047605078,5.668866043141157,0.3432230120664973
10,3,5.422580600606111,25.788350008389504,0.013332411379610082,models/regional/trial_058.pkl,1570,364,487,0.3760336073881566,0.11464968152866242,0.012738853503184714,0.375817769000848,0.9956906006032219,0.8968152866242038,0.598429296058571,0.6566866880977513,0.367780840237819,3.300016649974647,2.1263736263736264,0.45054945054945056,3.269115336405169,0.7350117012795468,0.2774725274725275,2.5536366558104517,5.500960444013129,0.43590171768614294
18,3,8.804775400596974,19.106827348205314,0.015858908552487474,models/regional/trial_059.pkl,1562,364,487,0.44978298935820715,0.16389244558258642,0.016645326504481434,0.44947488319322615,0.9938581043570525,0.852112676056338,0.6192911163554922,0.71753242617528,0.3062578430264269,3.092884424923451,2.0494505494505493,0.27472527472527475,3.0806590349081455,0.7672327809927806,0.25,2.5229005760600103,5.938815500944247,0.4054154109857471
