lstm_units,batch_size,dropout_rate,learning_rate,lag_days,num_layers,sequence_length,activation_function,optimizer,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
96,16,0.11000430208906678,0.0027575428905075015,1,1,30,relu,adam,2.603940005199401,1.4945125887669464,-0.07682375726275016,2.6028064970331335,0.7954642813257596,0.3705616526791478,3.6043054759650794,2.2365269461077846,0.2904191616766467,3.5925860705907784,0.7007428020147255,0.2874251497005988,models/regional/trial_001.h5
32,16,0.30214211524134493,0.00027509433714179764,1,3,27,tanh,adam,3.0733096099747073,1.8472938144329898,-0.21971649484536082,3.0654455827262295,0.7146522801084361,0.26739690721649484,4.219145285910427,2.7270029673590503,0.19881305637982197,4.214458483866355,0.5884047189467594,0.20178041543026706,models/regional/trial_002.h5
32,16,0.48288522888271246,0.0033725795056751416,1,2,10,tanh,rmsprop,2.88255339680026,1.7240280433397068,-0.41618865519439135,2.8523500992501254,0.746876027636735,0.29700446144040793,3.623136575409185,2.3022598870056497,-0.211864406779661,3.6169368417498937,0.6865605608168976,0.2457627118644068,models/regional/trial_003.h5
64,16,0.3208162525092908,0.00829575259588742,3,2,25,relu,adam,2.9538983503021097,2.036082474226804,-0.9948453608247423,2.7813302881827995,0.7363954688060879,0.10373711340206186,3.7597464296597494,2.601769911504425,-0.40707964601769914,3.7376435594017434,0.6723365270924931,0.11799410029498525,models/regional/trial_004.h5
32,32,0.21118944124403685,0.006360487598201358,2,1,18,tanh,adam,2.708604522911837,1.5173076923076922,0.041666666666666664,2.708284023219749,0.7775027186884258,0.41217948717948716,3.570511855924133,2.147398843930636,0.3959537572254335,3.5484891905476985,0.6999435946505945,0.35260115606936415,models/regional/trial_005.h5
32,64,0.3539913152788241,0.005346057371526783,1,1,21,tanh,rmsprop,2.9062148447775042,1.6142490372272145,0.06482670089858793,2.9054917351208793,0.7440720710410239,0.3774069319640565,3.68315050841511,2.311953352769679,0.18950437317784258,3.678272116114434,0.6830450713455867,0.2653061224489796,models/regional/trial_006.h5
96,32,0.43714076807592384,0.007762239116346986,1,1,17,tanh,rmsprop,2.85579582294154,1.7535211267605635,-0.36555697823303457,2.8323025752901962,0.7523999727990246,0.2797695262483995,3.597950104819734,2.345821325648415,-0.138328530259366,3.595289998663337,0.6945096864828253,0.2276657060518732,models/regional/trial_007.h5
96,32,0.18505061762165625,0.00499732028232785,3,2,11,tanh,adam,2.7818743738581153,1.5549169859514687,0.24968071519795657,2.7706469591751883,0.7645756587655681,0.4163473818646232,3.542138084495257,2.1558073654390935,0.603399433427762,3.490365501401076,0.7007923819264045,0.32294617563739375,models/regional/trial_008.h5
96,32,0.2447985774854444,0.009973284522111719,1,3,22,relu,adam,2.7256247332044117,1.5741811175337186,0.05330764290301863,2.725103389132923,0.7749864447023693,0.33911368015414256,3.72324765485929,2.307017543859649,0.4824561403508772,3.69185714404728,0.6767095242386806,0.2807017543859649,models/regional/trial_009.h5
64,64,0.20056564799272528,0.005536726703190722,1,3,30,relu,rmsprop,3.3431853545745804,1.7617817947062622,0.9987088444157521,3.19052800632242,0.6628461489662836,0.4170432537120723,4.6474511719016025,2.7964071856287425,1.5568862275449102,4.378916266576761,0.5024564585697695,0.3023952095808383,models/regional/trial_010.h5
96,16,0.3030726698417301,0.0010730441197490728,3,2,27,relu,adam,2.5239497975683194,1.5058064516129033,-0.09161290322580645,2.522286592877126,0.807733824529336,0.32193548387096776,3.869534050573272,2.3857566765578637,0.3026706231454006,3.8576786105675995,0.6537906670787378,0.28486646884273,models/regional/trial_011.h5
96,32,0.29544228321157917,0.0011275585759557417,2,2,14,relu,adam,2.6420028440811705,1.6604859335038362,-0.55306905370844,2.58346543424971,0.7878355034724002,0.2538363171355499,3.5411862419251547,2.282857142857143,-0.008571428571428572,3.5411758683539345,0.7025559681370959,0.21142857142857144,models/regional/trial_012.h5
96,16,0.15135658579990513,0.004758070957206326,3,1,15,tanh,adam,2.732293713578378,1.5947503201024327,-0.08642765685019206,2.730926435734091,0.773352388948067,0.36683738796414855,3.4628606687912407,2.163323782234957,0.29512893982808025,3.4502612829084804,0.7159218659436497,0.28653295128939826,models/regional/trial_013.h5
32,64,0.22468651652035798,0.009951542073042339,3,2,21,tanh,adam,2.7566232463586746,1.532133676092545,0.4781491002570694,2.7148379620685272,0.769937593778645,0.39203084832904883,3.7781017029897583,2.2915451895043732,0.9446064139941691,3.6581103319576336,0.6664922994429384,0.3177842565597668,models/regional/trial_014.h5
32,16,0.12839723440361303,0.006314718543128288,1,1,8,tanh,adam,3.112775261424272,2.2266072565245065,-1.4525779758115849,2.7530686610257407,0.704577352274667,0.11012094207511139,3.6074984329615756,2.5758426966292136,-1.2219101123595506,3.3942570057574746,0.6876452550276799,0.12078651685393259,models/regional/trial_015.h5
32,64,0.15292473949001,0.009355787263400904,3,3,22,relu,rmsprop,2.7211213879055527,1.6360128617363343,-0.17749196141479098,2.715326538622965,0.775921136843664,0.2752411575562701,3.7498537983195996,2.347953216374269,0.09064327485380116,3.7487581017579292,0.6720725800598639,0.23391812865497075,models/regional/trial_016.h5
32,64,0.36138219530631666,0.006465335715436894,1,2,30,tanh,adam,2.754888840626635,1.5455132343447386,-0.040025823111684955,2.7545980573748685,0.771063323932746,0.42027114267269206,3.562109312540958,2.197604790419162,0.1437125748502994,3.5592091046074987,0.7077086874714005,0.30538922155688625,models/regional/trial_017.h5
