batch_size,learning_rate,optimizer,lag_days,sequence_length,d_model,num_heads,ff_dim,num_layers,dropout_rate,month_embed_dim,dow_embed_dim,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
32,0.0001015938347114911,adam,2,25,128,2,128,2,0.2591690934984816,8,2,0.6940089498041377,0.3168061815840309,0.051513200257566,0.6920945113259214,0.1367477668950552,0.7398583386992917,0.6740009541059221,0.32448377581120946,0.058997050147492625,0.6714139067740461,0.14438835715222242,0.7227138643067846,models/zone_8_transformer/trial_001.h5
32,0.00026980119755578435,rmsprop,1,13,64,4,128,1,0.29725592359673925,4,4,0.67900460539727,0.30779054916985954,0.05236270753512133,0.6769825706842784,0.16792179148369657,0.7452107279693486,0.6493476893409429,0.301994301994302,0.02849002849002849,0.6487223904946237,0.18377223304632007,0.7407407407407407,models/zone_8_transformer/trial_002.h5
16,0.00021615412547525316,adam,3,19,64,2,128,1,0.22367717347418967,8,4,0.6887133359025831,0.3228498074454429,0.017329910141206675,0.6884952674235038,0.14759703122397239,0.7291399229781772,0.6767355572841977,0.336231884057971,-0.005797101449275362,0.6767107270522172,0.1254612546125462,0.7072463768115942,models/zone_8_transformer/trial_003.h5
16,0.0001272223692833438,adam,1,10,64,4,128,2,0.24065125519092137,8,2,0.6872229147867747,0.3052899936265137,0.06947100063734862,0.6837025045138244,0.14629831966093632,0.7520713830465264,0.6311141614207074,0.2853107344632768,0.05367231638418079,0.628827772287229,0.2252266236185272,0.7542372881355932,models/zone_8_transformer/trial_004.h5
16,0.00011824258075826972,adam,2,19,64,4,128,1,0.20310820933587598,8,4,0.693135035210717,0.30468248877485565,0.08531109685695959,0.6878649531627733,0.1361558230958959,0.7556125721616421,0.6681143701449647,0.3072463768115942,0.06376811594202898,0.6650642367346231,0.14760147601476026,0.744927536231884,models/zone_8_transformer/trial_005.h5
16,0.00026607446637892716,adam,1,13,128,4,64,2,0.291742858151158,4,2,0.6733382648429096,0.31928480204342274,0.007662835249042145,0.6732946604998485,0.18175134619587885,0.7305236270753512,0.668800005452637,0.32763532763532766,0.002849002849002849,0.6687939372304548,0.13413676073156922,0.7150997150997151,models/zone_8_transformer/trial_006.h5
32,0.00026433708030645676,rmsprop,2,7,128,4,64,2,0.22147161059700268,4,4,0.7233488848170959,0.37428389560789305,-0.042011457670273714,0.722127860278604,0.053180085842448155,0.6772756206238065,0.6981367759853317,0.3753501400560224,-0.0784313725490196,0.6937171453721395,0.04738682370261316,0.6638655462184874,models/zone_8_transformer/trial_007.h5
16,0.00018384696423926622,adam,3,24,64,4,128,2,0.2544517806034052,8,4,0.6972487557757124,0.3174500965872505,0.07018673535093367,0.6937071785786544,0.12866920321626552,0.7398583386992917,0.6816933932149711,0.31176470588235294,0.07647058823529412,0.6773906786248902,0.1227239323916064,0.7411764705882353,models/zone_8_transformer/trial_008.h5
32,0.0002533684336900546,adam,1,10,64,2,128,1,0.2764049723717511,4,4,0.6844349807175463,0.3027405991077119,0.09878903760356915,0.6772680184972479,0.15321088387420811,0.7558954748247291,0.6333482008364948,0.2824858757062147,0.07909604519774012,0.6283898146349142,0.21973177697752388,0.7598870056497176,models/zone_8_transformer/trial_009.h5
16,0.0002406905765839827,rmsprop,3,25,64,2,128,2,0.21755567676606508,4,2,0.6830042791672866,0.33762886597938147,-0.02577319587628866,0.6825178296097085,0.16435465962442186,0.7087628865979382,0.699768187490821,0.36578171091445427,-0.029498525073746312,0.6991461601429722,0.07771732004720078,0.6784660766961652,models/zone_8_transformer/trial_010.h5
32,0.00011191119256900682,adam,3,29,64,2,128,1,0.23735907800833733,8,2,0.6918686078603622,0.3081395348837209,0.07687338501291989,0.687584651675189,0.14397910447761197,0.7506459948320413,0.6932510475472599,0.3194029850746269,0.07462686567164178,0.6892226388079543,0.10317592284669097,0.7373134328358208,models/zone_8_transformer/trial_011.h5
16,0.00024143658424726557,rmsprop,1,28,64,4,128,2,0.21273483647235356,4,4,0.6822800928362143,0.2875564152159897,0.14442295293359123,0.6668194176435888,0.16657214687928412,0.7756286266924565,0.6725927091345493,0.2976190476190476,0.16071428571428573,0.653109386510636,0.1538627213837208,0.7619047619047619,models/zone_8_transformer/trial_012.h5
32,0.00029647593098807134,adam,3,9,128,4,64,2,0.22096842844004994,4,4,0.6934459942481286,0.30739795918367346,0.0778061224489796,0.6890671623638946,0.13122852912323502,0.7512755102040817,0.6543462493852219,0.28732394366197184,0.10704225352112676,0.6455315407055071,0.16527442608749454,0.7605633802816901,models/zone_8_transformer/trial_013.h5
32,0.00025774599889524384,adam,1,21,64,2,128,1,0.23187169079566575,4,2,0.670772550979559,0.31129653401797175,0.02631578947368421,0.6702561408685502,0.191428307020304,0.7387676508344031,0.6700593942604899,0.3323615160349854,0.0,0.6700593942604899,0.14654559555354507,0.7084548104956269,models/zone_8_transformer/trial_014.h5
