batch_size,learning_rate,optimizer,lag_days,sequence_length,d_model,num_heads,ff_dim,num_layers,dropout_rate,month_embed_dim,dow_embed_dim,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
32,0.0002878474280649431,adam,2,12,128,2,64,2,0.23456871116798003,8,4,1.0756803068781002,0.5440613026819924,-0.07535121328224777,1.0730378918110288,0.5056163644650481,0.6168582375478927,1.1750241777009605,0.7102272727272727,-0.028409090909090908,1.1746806977794166,0.4040050725344555,0.5227272727272727,models/zone_2_transformer/trial_001.h5
16,0.00017284429435625282,adam,3,17,128,2,128,2,0.266689290410573,8,4,1.0524696231684352,0.47435897435897434,0.035897435897435895,1.0518572535226902,0.5282007051226404,0.683974358974359,1.2405260574189672,0.7204610951008645,0.08645533141210375,1.2375097473579229,0.34171504089013305,0.5504322766570605,models/zone_2_transformer/trial_002.h5
32,0.00014203653697652838,rmsprop,2,21,128,2,128,1,0.26588507449984217,8,4,1.082944201640329,0.542068079640334,-0.05009633911368015,1.0817848680185063,0.5012658325550521,0.6274887604367373,1.2097755375737904,0.7055393586005831,0.0,1.2097755375737904,0.3798317269597037,0.5481049562682215,models/zone_2_transformer/trial_003.h5
16,0.0002967872045563703,adam,2,20,64,4,128,2,0.2243984439578439,4,2,1.024099842693513,0.4711168164313222,0.0038510911424903724,1.024092601722076,0.5537597617221297,0.6803594351732991,1.1983515809760954,0.6686046511627907,0.10465116279069768,1.193773280717265,0.38971826686538225,0.5755813953488372,models/zone_2_transformer/trial_004.h5
32,0.0002900079216886312,rmsprop,3,30,128,4,64,2,0.24500697572469082,4,4,1.0762764703941,0.5235940530058177,-0.0982546864899806,1.0717821874367652,0.5100090071873679,0.6380090497737556,1.2537369291143774,0.7455089820359282,-0.05089820359281437,1.2527033408976662,0.34490719985654084,0.5269461077844312,models/zone_2_transformer/trial_005.h5
16,0.00017660705848626763,adam,3,13,64,4,128,2,0.25426111405039153,8,2,1.0404233842116017,0.4929667519181586,-0.053069053708439895,1.0390690515806988,0.5379753815056982,0.6611253196930946,1.1935247900657215,0.6780626780626781,0.017094017094017096,1.193402370988517,0.38620482222673,0.5698005698005698,models/zone_2_transformer/trial_006.h5
32,0.0002076441135220463,adam,2,14,128,4,128,1,0.2388857203246128,8,2,1.0837677009707933,0.5198209718670077,0.008312020460358057,1.0837358257358596,0.49867736315768907,0.6521739130434783,1.2011898862615946,0.7057142857142857,0.054285714285714284,1.1999625844507122,0.3794239087691704,0.5428571428571428,models/zone_2_transformer/trial_007.h5
16,0.00011678949243240004,rmsprop,1,21,64,2,128,2,0.23273526669417344,8,4,1.1221883993315702,0.6123234916559692,-0.14890885750962773,1.112264786707522,0.46418399785729403,0.5526315789473685,1.2085699811830963,0.7551020408163265,-0.09620991253644315,1.2047344322076294,0.3810671219259195,0.4839650145772595,models/zone_2_transformer/trial_008.h5
16,0.0002508466408119052,adam,1,7,64,2,64,2,0.2669458844619911,4,4,1.047534364245302,0.4802798982188295,0.019720101781170483,1.0473487298223785,0.5296838404244691,0.6755725190839694,1.164363472854919,0.6778711484593838,0.07282913165266107,1.1620835660577455,0.4088635570547864,0.5518207282913166,models/zone_2_transformer/trial_009.h5
32,0.00017933088830332546,adam,1,25,64,2,128,1,0.2796227216600212,4,4,1.1164500644725435,0.5939510939510939,-0.11904761904761904,1.110084866512394,0.47075907205459755,0.5727155727155727,1.213250345633555,0.7522123893805309,-0.02064896755162242,1.213074614901735,0.3808434475791692,0.4896755162241888,models/zone_2_transformer/trial_010.h5
32,0.00012110777412879972,rmsprop,3,21,64,4,64,2,0.2615912354053551,8,4,1.093331034336204,0.4845758354755784,0.06298200514138817,1.0915154683608674,0.49191890252123494,0.6895886889460154,1.2181810270141542,0.7026239067055393,0.13702623906705538,1.2104498438119595,0.37118396219619365,0.5539358600583091,models/zone_2_transformer/trial_011.h5
32,0.00010573999955401792,rmsprop,1,22,64,4,128,2,0.22796584880375861,8,2,1.0656064094730677,0.5305073859987155,-0.07450224791265253,1.062998793492281,0.51710733404016,0.6332691072575466,1.1846977555181848,0.6900584795321637,-0.06432748538011696,1.1829500186206077,0.40637023750976353,0.5467836257309941,models/zone_2_transformer/trial_012.h5
16,0.00018088022573558562,adam,2,28,128,4,128,2,0.29966314639593317,8,4,1.2157567668448457,0.6561290322580645,-0.06516129032258064,1.2140092760652732,0.3737921509451798,0.5309677419354839,1.3013271613827098,0.7946428571428571,0.044642857142857144,1.3005611851268295,0.2916172634574341,0.4732142857142857,models/zone_2_transformer/trial_013.h5
32,0.0002449170002186103,rmsprop,1,13,128,2,128,1,0.23022675887804356,4,4,1.133209368924669,0.5945083014048531,-0.07471264367816093,1.1307437794183377,0.45132147292450975,0.5766283524904214,1.2101187811068235,0.7578347578347578,-0.05698005698005698,1.2087765457246487,0.3690185572490785,0.48148148148148145,models/zone_2_transformer/trial_014.h5
16,0.00021481284392526646,rmsprop,2,21,128,2,64,2,0.2941063596768103,8,2,1.1905752780122731,0.75208734746307,-0.2947976878612717,1.1535006787365363,0.3972035555580503,0.41490044958253053,1.2879798633052784,0.8950437317784257,-0.2536443148688047,1.262757573651656,0.2970602642232498,0.3556851311953353,models/zone_2_transformer/trial_015.h5
16,0.00025513870793964345,rmsprop,2,21,128,4,128,1,0.260963091224513,4,2,1.194883117606021,0.781631342324984,-0.394990366088632,1.1277093044916553,0.3928334861828481,0.3917790622992935,1.28003279841361,0.9212827988338192,-0.29737609329446063,1.2450106120638094,0.30570802898675997,0.3294460641399417,models/zone_2_transformer/trial_016.h5
32,0.00019010074092354047,rmsprop,2,8,64,4,128,2,0.20711797601534793,4,4,1.1603864939263229,0.7388535031847133,-0.332484076433121,1.1117334006878803,0.42348952999262124,0.4152866242038217,1.2586777438730488,0.8932584269662921,-0.24157303370786518,1.2352781598921463,0.31046372262498,0.34269662921348315,models/zone_2_transformer/trial_017.h5
32,0.00021900880746388094,rmsprop,2,10,128,4,128,2,0.25004721771179256,8,4,1.1191742582851714,0.6186224489795918,-0.18622448979591838,1.1035721362051567,0.46427070373060997,0.5491071428571429,1.1620165600694796,0.7231638418079096,-0.1016949152542373,1.1575580460983976,0.4150095417208285,0.5,models/zone_2_transformer/trial_018.h5
32,0.00021524939692054936,adam,2,23,128,4,64,2,0.2634784719454087,8,2,1.101591949476359,0.5459807073954984,-0.0045016077170418,1.1015827516256267,0.48448202679027597,0.6192926045016077,1.2060453783110545,0.7096774193548387,0.05278592375366569,1.20488966332977,0.38591573841439486,0.5366568914956011,models/zone_2_transformer/trial_019.h5
32,0.00011761195855515772,rmsprop,2,10,128,2,128,2,0.20542040853767288,8,4,1.0455200834503175,0.45790816326530615,0.05612244897959184,1.0440126989737684,0.5324643514227421,0.7059948979591837,1.153476690087958,0.6468926553672316,0.12146892655367232,1.1470631083153924,0.4235763475952097,0.5875706214689266,models/zone_2_transformer/trial_020.h5
16,0.00016215002767866701,adam,3,20,64,2,64,2,0.2947060742359356,4,4,1.110757811525015,0.5722543352601156,-0.06872190109184328,1.1086298824107907,0.47531854563978915,0.5895953757225434,1.263301322946406,0.7761627906976745,-0.02616279069767442,1.263030380054672,0.32177192005889643,0.49709302325581395,models/zone_2_transformer/trial_021.h5
16,0.0002728053868857176,rmsprop,2,17,128,2,128,2,0.2837475922606421,8,2,1.0146271677606389,0.44522741832158874,0.05829596412556054,1.012951069955823,0.5612895587164366,0.7046764894298526,1.1955730060017729,0.6570605187319885,0.1844380403458213,1.1812609457497139,0.3885592889166779,0.5878962536023055,models/zone_2_transformer/trial_022.h5
32,0.00010872945981946039,rmsprop,3,19,128,2,128,1,0.21262462698093887,8,2,1.1406256869096003,0.5629011553273428,0.010911424903722721,1.1405734954156035,0.4464327031889578,0.6039794608472401,1.2382783747337807,0.7333333333333333,0.11304347826086956,1.2331076617051804,0.34717989440700514,0.5130434782608696,models/zone_2_transformer/trial_023.h5
16,0.00011496564964874177,rmsprop,2,26,128,2,128,2,0.2954139592622676,8,2,1.0748411534522853,0.4890463917525773,0.03286082474226804,1.0743387135125948,0.5100298464679097,0.6778350515463918,1.217476291641878,0.7011834319526628,0.10355029585798817,1.2130646548876867,0.3776717725575516,0.5562130177514792,models/zone_2_transformer/trial_024.h5
32,0.00028068481241009716,adam,2,8,128,4,128,2,0.21455697956993985,8,2,1.106437445884787,0.575796178343949,-0.08662420382165605,1.1030412816247248,0.4758499889526102,0.5904458598726114,1.1945569438644736,0.7528089887640449,-0.05056179775280899,1.193486404087971,0.3789283175416486,0.47752808988764045,models/zone_2_transformer/trial_025.h5
16,0.0002797817063400642,rmsprop,2,28,64,2,128,2,0.2987651695218471,8,4,1.0194875372998324,0.44451612903225807,0.0832258064516129,1.0160847916636466,0.5596591685607528,0.7096774193548387,1.2100767390069582,0.6607142857142857,0.20238095238095238,1.1930329686974677,0.3874792506521223,0.5982142857142857,models/zone_2_transformer/trial_026.h5
32,0.00015489607603564554,adam,3,30,128,4,64,2,0.22190045389281055,4,4,1.2663921951688135,0.6690368455074337,0.005817711700064641,1.2663788320305505,0.3216140328302789,0.5229476405946994,1.3480969065542276,0.8592814371257484,0.12275449101796407,1.3424964075914685,0.24258794345318146,0.4251497005988024,models/zone_2_transformer/trial_027.h5
16,0.00011802667514924379,rmsprop,2,30,128,2,64,1,0.2786512811030505,8,4,1.099976509028005,0.5213178294573644,0.014857881136950904,1.099876158384005,0.4879226455892335,0.6531007751937985,1.2369074822962625,0.7215568862275449,0.05688622754491018,1.2355986714448133,0.36237634119369977,0.5479041916167665,models/zone_2_transformer/trial_028.h5
16,0.00019366627777053904,adam,1,14,128,4,64,2,0.20139186551009014,4,4,1.0745383138164153,0.5514376996805112,-0.08626198083067092,1.07107023977076,0.5069225479467914,0.602555910543131,1.2224097980160802,0.7171428571428572,0.037142857142857144,1.2218453758348393,0.3573043649233191,0.5342857142857143,models/zone_2_transformer/trial_029.h5
16,0.0002295304761278883,rmsprop,3,16,128,2,64,1,0.29462615328819464,8,4,1.1130810354218417,0.5765534913516976,-0.10890454836643178,1.1077405791794679,0.47201867240671325,0.5887251761691223,1.2340942045675145,0.735632183908046,-0.017241379310344827,1.2339737600883591,0.3473368342085523,0.5201149425287356,models/zone_2_transformer/trial_030.h5
32,0.00021746806910972148,adam,2,27,64,4,128,2,0.2032716286855047,8,2,1.0897802024943146,0.4809800128949065,0.11089619600257898,1.0841231126863347,0.49657941942464034,0.6879432624113475,1.2517050685505011,0.7181008902077152,0.20771513353115728,1.234350032177724,0.3433999025815879,0.5519287833827893,models/zone_2_transformer/trial_031.h5
16,0.00023255374761239558,adam,1,17,64,2,64,1,0.28298178372171323,4,2,1.1916267837730812,0.6709346991037132,-0.13316261203585147,1.1841630422206086,0.3945584080236324,0.5147247119078106,1.2241564760314747,0.8011527377521613,-0.07492795389048991,1.2218612357938126,0.3589734480578075,0.4322766570605187,models/zone_2_transformer/trial_032.h5
16,0.0002975054608732344,rmsprop,1,10,64,2,64,2,0.27899846642347537,4,4,1.118247741545797,0.5965583173996176,-0.11344805608667942,1.112478112163304,0.46487895372518817,0.5646908859145953,1.214321321226981,0.7740112994350282,-0.062146892655367235,1.2127299925868589,0.3611610476532897,0.4661016949152542,models/zone_2_transformer/trial_033.h5
16,0.00028908312859402127,adam,3,28,128,4,64,1,0.2998586755089327,8,4,1.1142019988558438,0.5907036797934151,-0.1594577146546159,1.1027326654686007,0.4743158862215784,0.5732730794060684,1.2051476890327395,0.7023809523809523,0.011904761904761904,1.2050888884331077,0.3924590941427555,0.5446428571428571,models/zone_2_transformer/trial_034.h5
16,0.00012523831766101122,rmsprop,2,26,128,4,128,1,0.2793096093101646,4,2,1.0843901797119293,0.5109536082474226,0.0019329896907216496,1.0843884568762827,0.501285259232535,0.6649484536082474,1.2089410496539776,0.6923076923076923,0.047337278106508875,1.2080139252673905,0.3863669773321965,0.5680473372781065,models/zone_2_transformer/trial_035.h5
32,0.0001853528012521916,rmsprop,2,11,128,2,64,1,0.20932301017036775,4,4,1.0750402554015763,0.4958519463943842,0.00574345883854499,1.07502491292735,0.5059472534451626,0.6719846841097639,1.1673072570213112,0.6770538243626062,0.025495750708215296,1.1670287909860846,0.4107396944604471,0.5609065155807366,models/zone_2_transformer/trial_036.h5
32,0.000273618429773813,adam,2,26,128,4,64,1,0.21547301758582615,8,2,1.117169195023421,0.5496134020618557,-0.028994845360824743,1.1167928676580006,0.4706792039087234,0.6256443298969072,1.255755978254962,0.742603550295858,0.020710059171597635,1.2555851904081163,0.3379222650163173,0.5295857988165681,models/zone_2_transformer/trial_037.h5
32,0.0002690310322656716,adam,3,28,128,2,64,2,0.2702698772865605,8,4,1.1928342105427676,0.65848934796643,-0.11233053582956747,1.1875332856646292,0.3974998508748615,0.5125887669464171,1.294447850666545,0.8065476190476191,0.020833333333333332,1.2942801900351641,0.2990870286933839,0.4642857142857143,models/zone_2_transformer/trial_038.h5
32,0.00013148185516901774,rmsprop,3,17,64,2,64,1,0.27544358791249857,4,2,1.1356687852290341,0.5448717948717948,0.03974358974358974,1.1349731436548984,0.45065961730714843,0.6262820512820513,1.2950804721695144,0.7896253602305475,0.12680115273775217,1.288857981726144,0.28254335917239215,0.4783861671469741,models/zone_2_transformer/trial_039.h5
16,0.00016903457109617237,adam,2,28,128,4,64,1,0.2395263396087629,4,2,1.1362076139225101,0.603225806451613,-0.11806451612903225,1.1300568622714087,0.45305896728123296,0.5761290322580646,1.2259592939719453,0.7529761904761905,-0.050595238095238096,1.224914818409132,0.3712947593075646,0.5029761904761905,models/zone_2_transformer/trial_040.h5
32,0.00013513896037516848,rmsprop,3,29,64,4,64,2,0.28617643620225885,4,4,1.3101176545386488,0.8714470284237726,-0.32493540051679587,1.2691829081045962,0.2735773995358213,0.30684754521963825,1.3735236307319596,1.008955223880597,-0.17313432835820897,1.3625680417957324,0.2122925812932509,0.2626865671641791,models/zone_2_transformer/trial_041.h5
32,0.0002664051826143414,rmsprop,1,20,64,2,128,2,0.2523962543000632,8,4,1.0742182443217074,0.5368826170622194,-0.06606799230275817,1.072184618816505,0.5087571523955052,0.622193713919179,1.1849344992200457,0.7122093023255814,-0.00872093023255814,1.1849024064528433,0.40330753622667936,0.5232558139534884,models/zone_2_transformer/trial_042.h5
