batch_size,learning_rate,optimizer,lag_days,sequence_length,d_model,num_heads,ff_dim,num_layers,dropout_rate,month_embed_dim,dow_embed_dim,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
32,0.0002446560159650005,rmsprop,2,7,64,2,64,2,0.23445288665621344,4,2,0.8873536852343139,0.4436664544875875,-0.004455760661998727,0.8873424980783018,0.32503212764922873,0.668364099299809,0.9730255451346557,0.5490196078431373,0.04481792717086835,0.9719928317064385,0.33441078481124376,0.6022408963585434,models/zone_6_transformer/trial_001.h5
32,0.0001751291067603975,adam,3,18,64,2,128,1,0.2727858140906128,4,2,0.9432247172453543,0.4470814624759461,0.15586914688903142,0.9302567797499054,0.2419170724695603,0.6799230275817832,1.0562229577206628,0.5549132947976878,0.19653179190751446,1.0377775248991503,0.2337578886976477,0.6184971098265896,models/zone_6_transformer/trial_002.h5
16,0.00019212505570971925,adam,2,13,64,2,128,1,0.2240666294143212,4,2,0.9110608919725339,0.44536741214057507,0.10543130990415335,0.9049398807510273,0.29060978801360904,0.6753993610223642,1.0445899153103533,0.5783475783475783,0.09971509971509972,1.039819691127697,0.2424773475183699,0.5897435897435898,models/zone_6_transformer/trial_003.h5
32,0.00014686785569751232,adam,1,11,128,2,128,2,0.22369040347767208,4,2,0.9202927661946518,0.49489795918367346,-0.036989795918367346,0.9195490908636264,0.27507283027065577,0.6122448979591837,1.0,0.5694050991501416,0.036827195467422094,0.9993216487567976,0.30298029914864577,0.5750708215297451,models/zone_6_transformer/trial_004.h5
32,0.00023926168146181796,rmsprop,1,16,128,2,128,1,0.28493409322600405,8,2,0.9210692276224066,0.4952015355086372,-0.030710172744721688,0.9205571179252953,0.2756605435329641,0.6097248880358286,1.007158287505968,0.5660919540229885,0.03735632183908046,1.0064652608563345,0.30003019960227706,0.5804597701149425,models/zone_6_transformer/trial_005.h5
32,0.00014066734661201088,adam,2,18,64,2,64,2,0.23771679749613397,4,2,0.9700647612534129,0.5282051282051282,0.014102564102564103,0.9699622460237172,0.19775912876181778,0.5871794871794872,1.0410643730825362,0.6098265895953757,0.031791907514450865,1.0405788309966364,0.2555938037865748,0.5375722543352601,models/zone_6_transformer/trial_006.h5
32,0.00028288825935511764,adam,2,14,128,4,128,2,0.2533650127416263,8,4,0.8943557025938552,0.47762148337595906,-0.026214833759590793,0.8939714230628993,0.316726470788524,0.6234015345268542,1.0295630140987,0.6028571428571429,0.02,1.0293687385966217,0.2655916836812606,0.5571428571428572,models/zone_6_transformer/trial_007.h5
16,0.0002482504757432978,adam,2,24,128,4,64,1,0.23298652859778599,8,2,0.9515279320153484,0.5231660231660231,-0.030244530244530245,0.95104714593741,0.23043854709277778,0.5862290862290862,1.0599667031396345,0.6294117647058823,0.03529411764705882,1.0593789392961435,0.23565829429627339,0.5235294117647059,models/zone_6_transformer/trial_008.h5
32,0.00019216579968964106,rmsprop,1,11,128,2,64,1,0.28390684935949545,4,2,0.8949974347244049,0.45408163265306123,0.02040816326530612,0.8947647260790973,0.3143761105571864,0.6536989795918368,0.9971631148515255,0.5580736543909348,0.0821529745042493,0.993773196660335,0.30692941926678374,0.5920679886685553,models/zone_6_transformer/trial_009.h5
32,0.00017464013853736238,rmsprop,3,22,64,2,128,1,0.201672614760263,8,4,0.9097542157742228,0.4572347266881029,0.023794212218649517,0.9094429990845302,0.296173218720744,0.6559485530546624,1.0554786059979133,0.5877192982456141,0.06725146198830409,1.053333911245496,0.23899686959772015,0.5964912280701754,models/zone_6_transformer/trial_010.h5
