fire_lag,climate_lag,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,model_file,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
20,3,100,7,0.051085801281149,0.8623780687795083,0.8910665270451754,0,1.0,5,models/zone_2/trial_001.json,0.34436861641535316,0.08653846383094788,0.058333333333333334,0.3393920532539998,0.9494890570640564,0.9237179487179488,1.0297764741143605,0.5329670310020447,0.0989010989010989,1.0250161623485337,0.5317704677581787,0.6456043956043956
18,6,100,5,0.2193782435511153,0.8904894386513672,0.8134348680082919,0,1.0,1,models/zone_2/trial_002.json,0.07161148852105764,0.0051282052882015705,0.005128205128205128,0.0714276321906878,0.997815728187561,0.9948717948717949,1.1755288699169317,0.656593382358551,0.03021978021978022,1.175140373211473,0.38984596729278564,0.5851648351648352
7,5,300,3,0.20637040653835637,0.8328708185701407,0.9967800941176556,0,1.0,1,models/zone_2/trial_003.json,0.15191090666596793,0.023076923564076424,0.020512820512820513,0.1505195909891197,0.9901708364486694,0.9769230769230769,1.1917758555951505,0.6675823926925659,0.03021978021978022,1.1913926452740666,0.3728635311126709,0.5934065934065934
24,4,200,7,0.13364712125028785,0.8924108314988844,0.9595511576608531,5,0.0,1,models/zone_2/trial_004.json,0.5057509906380079,0.2030848264694214,0.07197943444730077,0.5006026595148141,0.8912815451622009,0.8181233933161953,1.1217137659187715,0.598901093006134,0.13186813186813187,1.1139356148536446,0.44443225860595703,0.6098901098901099
27,6,200,3,0.22384262716837977,0.976619474883861,0.889915002274816,1,0.1,1,models/zone_2/trial_005.json,0.47878360640299067,0.18931101262569427,0.04764971023824855,0.47640659762473864,0.9027280807495117,0.8261429491307147,1.0677592877890836,0.5961538553237915,0.03571428571428571,1.067161833981055,0.49659258127212524,0.6071428571428571
29,4,100,5,0.22817439365454256,0.9617459577262522,0.812512750293833,0,1.0,1,models/zone_2/trial_006.json,0.07181895600358165,0.005157962441444397,0.0051579626047711154,0.07163349793594403,0.9978135824203491,0.9948420373952289,1.1106378593838115,0.6181318759918213,0.024725274725274724,1.1103626183847524,0.45534956455230713,0.5934065934065934
18,5,100,5,0.043046941504496956,0.9341402856448837,0.8978967957611605,5,0.1,10,models/zone_2/trial_007.json,0.6276459238135007,0.24435847997665405,0.10767246937459704,0.6183413565969612,0.8330130577087402,0.8033526756931012,1.0561176916919979,0.5604395866394043,0.12637362637362637,1.0485295999359268,0.5075098276138306,0.6346153846153846
19,7,200,7,0.043127301267520665,0.8703969848834243,0.8915721172353069,0,1.0,10,models/zone_2/trial_008.json,0.2500805873922419,0.04706640914082527,0.038039974210186976,0.24717050176940225,0.9734898209571838,0.9580915538362347,1.060012429812267,0.5851648449897766,0.08516483516483517,1.0565856919709447,0.5038707256317139,0.6043956043956044
16,7,300,3,0.204911923697925,0.8626371489731396,0.8477145452877581,0,0.0,5,models/zone_2/trial_009.json,0.11636000777239379,0.013539651408791542,0.013539651837524178,0.1155695879790302,0.9942606687545776,0.9864603481624759,1.0792753191910154,0.5824176073074341,0.03296703296703297,1.0787716809281358,0.48567527532577515,0.6181318681318682
29,4,300,5,0.13128934080126498,0.8275734597069115,0.8767419925675375,0,0.1,10,models/zone_2/trial_010.json,0.04397995034054689,0.0019342360319569707,0.0019342359767891683,0.0439373953253406,0.9991800785064697,0.9980657640232108,1.0690449915447144,0.5769230723381042,0.06043956043956044,1.0673350937690635,0.49537956714630127,0.6126373626373627
24,4,300,3,0.15199618759574057,0.8280593070195594,0.8629160029321689,1,1.0,1,models/zone_2/trial_011.json,0.46751328084818305,0.1824629306793213,0.05222437137330754,0.4645872150757475,0.9073509573936462,0.8323662153449387,1.1192619431067008,0.6043956279754639,0.08791208791208792,1.1158040677225505,0.44685834646224976,0.6071428571428571
18,3,200,3,0.06658726257393226,0.8767888351735906,0.9123164154670209,5,0.1,5,models/zone_2/trial_012.json,0.6883950908964627,0.2946486175060272,0.0548033526756931,0.6862101768764799,0.7991237044334412,0.7691811734364926,1.0792753191910154,0.5659340620040894,0.09340659340659341,1.0752257312505782,0.48567527532577515,0.6346153846153846
28,6,200,7,0.2535686226093546,0.8977399023879371,0.8165341251572934,0,0.0,5,models/zone_2/trial_013.json,0.0,0.0,0.0,0.0,1.0,1.0,1.0482848623398027,0.5659340620040894,0.005494505494505495,1.0482704371060312,0.514788031578064,0.6208791208791209
8,5,100,7,0.09371438994095177,0.956148039485993,0.9131300922371719,1,1.0,10,models/zone_2/trial_014.json,0.414906020438885,0.13217279314994812,0.06125080593165699,0.4103600135331883,0.9270285964012146,0.8826563507414571,1.0677592877890836,0.5631868243217468,0.09065934065934066,1.0639035548681581,0.49659258127212524,0.6346153846153846
10,7,100,5,0.2347827780805587,0.9646565615995133,0.8733723544210842,0,1.0,5,models/zone_2/trial_015.json,0.09500754850288315,0.009026434272527695,0.007736943907156673,0.09469199679659819,0.9961737990379333,0.9909735654416505,1.1375218860910148,0.6401098966598511,0.03571428571428571,1.1369610959711693,0.42866289615631104,0.5934065934065934
24,4,200,3,0.22343672231376546,0.9307343404760144,0.8495063249732687,0,0.1,5,models/zone_2/trial_016.json,0.2638796941022544,0.06705351173877716,0.037395228884590584,0.2612165615367432,0.9704834818840027,0.9342359767891683,1.1495340522876103,0.6291208863258362,0.06318681318681318,1.1477961483067742,0.41653257608413696,0.5934065934065934
18,3,200,3,0.23493317846542433,0.8473892110733363,0.962140543367882,5,1.0,5,models/zone_2/trial_017.json,0.6741998725096029,0.28691166639328003,0.059961315280464215,0.6715281790180448,0.8073227405548096,0.7730496453900709,1.0456608236119416,0.5604395866394043,0.07142857142857142,1.0432183628513576,0.5172140598297119,0.6208791208791209
29,7,300,5,0.05813466913017517,0.8278469931853553,0.8413239312373547,0,0.0,10,models/zone_2/trial_018.json,0.22136088903354578,0.045132171362638474,0.03481624758220503,0.21860574935170438,0.9792290925979614,0.9568020631850419,1.0587158132751247,0.598901093006134,0.054945054945054944,1.057289062563406,0.5050837993621826,0.5906593406593407
18,7,200,7,0.16624287835381502,0.8647307231709364,0.9408107523510377,1,1.0,5,models/zone_2/trial_019.json,0.3545776978652675,0.10509348660707474,0.050934880722114766,0.35090023712890234,0.9467062950134277,0.9032882011605415,1.1056796570287821,0.6236263513565063,0.07417582417582418,1.103188750683812,0.4602016806602478,0.5934065934065934
23,3,100,5,0.2764429264306493,0.9984972451289349,0.9734095180867557,0,1.0,1,models/zone_2/trial_020.json,0.05677787003668549,0.003223726525902748,0.003223726627981947,0.056686278891897535,0.9986335039138794,0.996776273372018,1.1399344352640395,0.6016483306884766,0.10164835164835165,1.135393395285406,0.4262368083000183,0.6236263736263736
14,4,300,5,0.25025972278260344,0.9522947174959714,0.9352469107399892,1,0.0,10,models/zone_2/trial_021.json,0.4195419722168986,0.14377820491790771,0.04577691811734365,0.4170371058496981,0.9253888130187988,0.8697614442295294,1.0969487961509201,0.593406617641449,0.06043956043956044,1.0952825036631308,0.4686928987503052,0.6126373626373627
27,5,300,5,0.11879997507540582,0.8151032546663698,0.9589197261335329,0,0.1,10,models/zone_2/trial_022.json,0.035909478001790826,0.0012894906103610992,0.0012894906511927789,0.03588631863333526,0.9994534254074097,0.9987105093488072,1.0190493442279303,0.5604395866394043,0.08241758241758242,1.0157110221760812,0.5414746999740601,0.6181318681318682
30,5,300,5,0.14186173823158205,0.8976088960875411,0.9163911089337962,5,0.0,10,models/zone_2/trial_023.json,0.5864051224423024,0.22774194180965424,0.07161290322580645,0.5820159446557343,0.85431307554245,0.8135483870967742,1.0364245436382533,0.541208803653717,0.12912087912087913,1.0283499515004002,0.5257052779197693,0.6373626373626373
21,5,100,7,0.12533760177471248,0.9936257160151647,0.9649695295272045,1,0.1,5,models/zone_2/trial_024.json,0.34454270557899397,0.09935484081506729,0.06064516129032258,0.3391634441260225,0.9497065544128418,0.9077419354838709,1.0969487961509201,0.6043956279754639,0.08791208791208792,1.0934203986096294,0.4686928987503052,0.6043956043956044
