fire_lag,climate_lag,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,model_file,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
18,7,200,7,0.17210085079442,0.9557649439495541,0.9744029585476126,5,0.1,10,models/zone_4/trial_001.json,0.47807230752546725,0.16837388277053833,0.06594110115236876,0.47350280694274066,0.587455153465271,0.8553137003841229,0.5645186706290185,0.21978022158145905,0.09340659340659341,0.5567373949983008,0.25457245111465454,0.8159340659340659
20,6,300,5,0.2221979185361342,0.8833844703790722,0.8325685547953042,5,0.0,5,models/zone_4/trial_002.json,0.43998834865488984,0.15641026198863983,0.04487179487179487,0.43769426043155646,0.6509475111961365,0.8602564102564103,0.5596309715533504,0.24175824224948883,0.054945054945054944,0.5569271533368598,0.26742464303970337,0.7884615384615384
29,6,100,7,0.15882379070184216,0.9058282213182124,0.9388941410372296,1,0.1,1,models/zone_4/trial_003.json,0.2513663534226173,0.06318504363298416,0.04642166344294004,0.247042650308882,0.8865227699279785,0.9368149580915538,0.574169260604196,0.24175824224948883,0.06043956043956044,0.5709793246731464,0.2288680076599121,0.7912087912087912
30,4,300,5,0.27729223307988277,0.8237532117986682,0.9704635596403776,0,0.0,5,models/zone_4/trial_004.json,0.0,0.0,0.0,0.0,1.0,1.0,0.5497252168017508,0.21978022158145905,0.06593406593406594,0.5457568150258909,0.293129026889801,0.8131868131868132
25,5,100,7,0.05445830810178251,0.8742934708370635,0.9982040202237066,1,0.1,5,models/zone_4/trial_005.json,0.2940265505238082,0.078709676861763,0.04903225806451613,0.28990938338094635,0.8448227047920227,0.9251612903225807,0.5472207475078654,0.22252747416496277,0.07417582417582418,0.5421701730622838,0.29955512285232544,0.8076923076923077
7,4,100,7,0.13230952079675198,0.987364131054659,0.861032792760517,1,0.0,1,models/zone_4/trial_006.json,0.28284270931360533,0.07483871281147003,0.05419354838709677,0.2776023402516906,0.856403112411499,0.927741935483871,0.5813020580318972,0.24450549483299255,0.03021978021978022,0.5805160228585909,0.20958971977233887,0.7967032967032966
30,6,100,3,0.16878581688633704,0.8135129077291885,0.8089364952110875,1,1.0,5,models/zone_4/trial_007.json,0.398383828830468,0.13548387587070465,0.04129032258064516,0.3962382953230809,0.7151222229003906,0.8754838709677419,0.5472207475078654,0.23351648449897766,0.03571428571428571,0.5460540625674969,0.29955512285232544,0.7939560439560439
25,6,200,5,0.14781598904723967,0.9440066990758232,0.9211419420433188,0,1.0,10,models/zone_4/trial_008.json,0.035921061101618315,0.0012903226306661963,0.0012903225806451613,0.03589787804708014,0.9976839423179626,0.9987096774193548,0.5345224957723572,0.20879121124744415,0.06043956043956044,0.5310944786458982,0.3316856026649475,0.8186813186813187
21,6,300,5,0.05320495137006198,0.9455728312212471,0.8178629961607033,5,1.0,10,models/zone_4/trial_009.json,0.48193159943605696,0.1690322607755661,0.06838709677419355,0.47705478669742546,0.583105742931366,0.8561290322580645,0.5813020580318972,0.2390109896659851,0.09065934065934066,0.5741889687753514,0.20958971977233887,0.7967032967032966
20,6,100,5,0.10830938582784227,0.8091639428706162,0.9340887679011273,1,1.0,5,models/zone_4/trial_010.json,0.3473401186054381,0.10774193704128265,0.041935483870967745,0.34479932784567663,0.7834466099739075,0.8987096774193548,0.5547002065573253,0.21978022158145905,0.07692307692307693,0.5493406483494501,0.2802768349647522,0.8131868131868132
27,3,100,7,0.017193186028886486,0.9260218423547727,0.9543190281203372,1,1.0,10,models/zone_4/trial_011.json,0.46766406474927,0.14000000059604645,0.09741935483870967,0.4574047952548863,0.6074245572090149,0.8883870967741936,0.5596309715533504,0.21978022158145905,0.10989010989010989,0.5487357988459954,0.26742464303970337,0.8131868131868132
10,7,100,3,0.2869988146381391,0.9083668657792443,0.9515230328632509,5,1.0,1,models/zone_4/trial_012.json,0.48260048405492184,0.17225806415081024,0.05741935483870968,0.4791724569467218,0.5819476842880249,0.8529032258064516,0.5883484132075071,0.23626373708248138,0.08241758241758242,0.5825471553979876,0.19031143188476562,0.8021978021978022
22,7,100,3,0.2008937801531905,0.9063718872960559,0.992475353209635,1,0.0,1,models/zone_4/trial_013.json,0.3918525101019936,0.134193554520607,0.03870967741935484,0.38993582545191163,0.7243865728378296,0.8748387096774194,0.5883484132075071,0.25824177265167236,0.016483516483516484,0.588117454117954,0.19031143188476562,0.7774725274725275
29,7,200,3,0.24400709699636486,0.9213709642297494,0.8803595730496839,0,0.1,1,models/zone_4/trial_014.json,0.08032193227310344,0.006451612804085016,0.0064516129032258064,0.08006241061929585,0.9884195923805237,0.9935483870967742,0.5645186706290185,0.24175824224948883,0.02197802197802198,0.5640906711081582,0.25457245111465454,0.7912087912087912
17,6,100,5,0.016976512665286943,0.9055803512295819,0.8764021966713336,0,0.0,1,models/zone_4/trial_015.json,0.401609658466799,0.1316128969192505,0.07483870967741936,0.39457507538422154,0.7104901075363159,0.8819354838709678,0.5765566559368747,0.2390109896659851,0.06868131868131869,0.5724512720588344,0.2224419116973877,0.7939560439560439
24,4,200,3,0.0629739886083514,0.9536609382772872,0.8308454741638813,1,1.0,1,models/zone_4/trial_016.json,0.42197690721916253,0.1483870893716812,0.04903225806451613,0.41911854384902486,0.6803810596466064,0.8658064516129033,0.5421771309600393,0.23351648449897766,0.057692307692307696,0.5390989163309272,0.31240731477737427,0.7912087912087912
8,7,200,3,0.01787964580101653,0.8117003564507133,0.8779879422467116,1,0.0,5,models/zone_4/trial_017.json,0.48393547974925594,0.1735483855009079,0.06129032258064516,0.48003858672512695,0.5796316266059875,0.8516129032258064,0.5836603037356438,0.23626373708248138,0.09340659340659341,0.5761376128734489,0.20316362380981445,0.8021978021978022
17,5,200,3,0.025044654374884383,0.8479245927216615,0.9194009238273338,0,0.1,10,models/zone_4/trial_018.json,0.449372323363799,0.15419355034828186,0.05870967741935484,0.4455206590589072,0.6375336050987244,0.8651612903225806,0.5396376595955077,0.2252747267484665,0.08241758241758242,0.5333067909911069,0.3188334107398987,0.8021978021978022
23,6,100,5,0.02758327359197712,0.8929647066490667,0.8814152927181992,1,0.0,5,models/zone_4/trial_019.json,0.38184610338654223,0.11741935461759567,0.06838709677419355,0.37567227287584093,0.7382830381393433,0.8941935483870967,0.5596309715533504,0.21978022158145905,0.0989010989010989,0.5508224630704236,0.26742464303970337,0.8131868131868132
27,4,100,5,0.17068182631885748,0.9172345395015142,0.820301883289689,5,1.0,1,models/zone_4/trial_020.json,0.4464917046319936,0.15935483574867249,0.06129032258064516,0.4422650054748147,0.6421657800674438,0.8587096774193549,0.5547002065573253,0.2252747267484665,0.09340659340659341,0.5467792205273377,0.2802768349647522,0.8076923076923077
16,7,200,5,0.03433342311844659,0.9271597988909965,0.8406913813693547,0,0.1,10,models/zone_4/trial_021.json,0.24362848352326677,0.052903227508068085,0.03870967741935484,0.24053357267493225,0.8934603333473206,0.9503225806451613,0.5765566559368747,0.22802197933197021,0.07967032967032966,0.5710255869817074,0.2224419116973877,0.804945054945055
12,4,300,5,0.2887921116823918,0.911030449646327,0.8083584159627573,1,1.0,5,models/zone_4/trial_022.json,0.3733026117253905,0.12129032611846924,0.03354838709677419,0.3717920715035252,0.7498634457588196,0.8870967741935484,0.5497252168017508,0.21978022158145905,0.07142857142857142,0.5450649148326057,0.293129026889801,0.8159340659340659
27,4,100,3,0.2807169766524814,0.8964372519750937,0.9195735503001347,5,0.1,5,models/zone_4/trial_023.json,0.4905559655234363,0.18129032850265503,0.0664516129032258,0.4860343037614551,0.5680512189865112,0.8425806451612903,0.5789342320072087,0.21978022158145905,0.11538461538461539,0.567319333089733,0.21601581573486328,0.8214285714285714
27,4,300,7,0.09158027375631457,0.832283261029695,0.9068178572700644,0,0.1,1,models/zone_4/trial_024.json,0.0,0.0,0.0,0.0,1.0,1.0,0.5319464550140781,0.22802197933197021,0.04120879120879121,0.5303478749784364,0.3381116986274719,0.7939560439560439
19,3,100,7,0.17137893363578738,0.8558916596744646,0.8863924864096198,5,1.0,5,models/zone_4/trial_025.json,0.4731500426484183,0.1645161360502243,0.06387096774193549,0.468819226591278,0.5981602668762207,0.8593548387096774,0.5620801206270235,0.21703296899795532,0.09615384615384616,0.5537946404615057,0.26099854707717896,0.8186813186813187
28,5,300,5,0.29409570089192133,0.941550818760273,0.85460262782265,5,0.1,5,models/zone_4/trial_026.json,0.4529473351070992,0.157419353723526,0.05161290322580645,0.4499971094831434,0.6317434310913086,0.8625806451612903,0.6112498516636455,0.25824177265167236,0.07692307692307693,0.606390314783358,0.1260504126548767,0.7857142857142857
