fire_lag,climate_lag,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,model_file,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
17,5,100,3,0.12498221161559939,0.866800416415409,0.9216480290100328,0,0.0,1,models/zone_8/trial_001.json,0.3760249317316481,0.12731926143169403,0.04798464491362764,0.3729507038890473,0.7452237606048584,0.8797184900831734,0.6157279320656455,0.2857142984867096,0.04395604395604396,0.6141569386733439,0.24896830320358276,0.75
29,6,100,3,0.04434014238956044,0.8304311652393823,0.8362087904859766,1,0.1,5,models/zone_8/trial_002.json,0.5153979755344088,0.20116053521633148,0.06576402321083172,0.5111850617896004,0.524415135383606,0.8272082527401676,0.5999084124598929,0.2719780206680298,0.06868131868131869,0.5959639136342946,0.2870641350746155,0.760989010989011
29,6,200,5,0.04895760216939883,0.8632010483939545,0.8134664541336053,0,0.0,1,models/zone_8/trial_003.json,0.17591980136218757,0.03094777651131153,0.030947775628626693,0.1731762420549276,0.9445920586585999,0.9690522243713733,0.6112498516636455,0.26923078298568726,0.054945054945054944,0.6087753399764634,0.2598528265953064,0.771978021978022
12,5,300,3,0.036767045542804036,0.982143785018343,0.9703573681464203,1,1.0,10,models/zone_8/trial_004.json,0.5046527567144985,0.19535782933235168,0.05609284332688588,0.5015256688725704,0.5440387725830078,0.8304319793681496,0.6044705191381597,0.27747252583503723,0.0521978021978022,0.6022125910592825,0.27617961168289185,0.7554945054945055
27,6,100,3,0.230542953329435,0.9958857708228386,0.8030028016989647,1,1.0,10,models/zone_8/trial_005.json,0.48709987395564314,0.1882656365633011,0.04642166344294004,0.484882778599799,0.5752056837081909,0.8330109606705351,0.5976143117913144,0.2637362778186798,0.054945054945054944,0.5950831018269146,0.2925063967704773,0.7692307692307693
19,6,300,5,0.29757472010001923,0.8255704301534352,0.9749237613069,0,1.0,10,models/zone_8/trial_006.json,0.0,0.0,0.0,0.0,1.0,1.0,0.6134929656003981,0.27747252583503723,0.008241758241758242,0.6134376087221184,0.2544105648994446,0.7582417582417582
18,6,100,5,0.13937345675471352,0.9988432045553302,0.8817097362764602,1,0.0,10,models/zone_8/trial_007.json,0.3909023444745832,0.12314635515213013,0.06898774983881367,0.3847665948838615,0.7264232635498047,0.8903932946486138,0.6134929656003981,0.26648351550102234,0.06868131868131869,0.6096363693529294,0.2544105648994446,0.7747252747252747
20,3,100,7,0.042163240363160576,0.8329247788391578,0.8407781891953378,1,0.0,10,models/zone_8/trial_008.json,0.4078532823362498,0.13539652526378632,0.07479045776918117,0.4009372537324822,0.7021822929382324,0.8787878787878788,0.6201736784908269,0.26923078298568726,0.06593406593406594,0.6166588064438769,0.23808377981185913,0.7802197802197802
22,5,100,5,0.11025857695911782,0.9177484403990153,0.8771738899743533,5,0.0,5,models/zone_8/trial_009.json,0.5326236468470049,0.20889748632907867,0.07736943907156674,0.5269743002843331,0.4920938014984131,0.8226950354609929,0.6157279320656455,0.26923078298568726,0.08241758241758242,0.6101870379066734,0.24896830320358276,0.771978021978022
24,5,300,3,0.11686377752711107,0.8529454200684845,0.9028112205487914,1,0.0,1,models/zone_8/trial_010.json,0.40308290010378645,0.14313346147537231,0.05029013539651837,0.39993339987064097,0.7091082334518433,0.865892972275951,0.6376467769548227,0.2967033088207245,0.06043956043956044,0.6347759180429573,0.19454574584960938,0.7445054945054945
28,7,300,3,0.15600417996977772,0.975729990382817,0.8724058356835185,1,0.0,1,models/zone_8/trial_011.json,0.4331522747496147,0.1618310809135437,0.05867182462927144,0.4291602343451934,0.6640893220901489,0.8504190844616376,0.6333236984306414,0.29120880365371704,0.038461538461538464,0.6321547367204273,0.20543020963668823,0.7527472527472527
28,6,200,5,0.1993181633692525,0.8570413897219405,0.8934448113121677,5,0.0,1,models/zone_8/trial_012.json,0.5027327068452346,0.19729207456111908,0.07221147646679561,0.49751951750687134,0.5475017428398132,0.8278529980657641,0.6044705191381597,0.2609890103340149,0.057692307692307696,0.6017110710446929,0.27617961168289185,0.7802197802197802
9,3,100,3,0.05470751055367201,0.9425850465666137,0.8894898806295782,5,1.0,10,models/zone_8/trial_013.json,0.5889592391354487,0.24113474786281586,0.07221147646679561,0.584515601021344,0.3789692521095276,0.8020631850419084,0.6179547912332898,0.2719780206680298,0.06868131868131869,0.614126215311093,0.24352604150772095,0.7692307692307693
30,6,300,7,0.22269755115005133,0.9966578708363574,0.8901500231599634,1,0.0,1,models/zone_8/trial_014.json,0.2896048509827386,0.07741935551166534,0.06451612903225806,0.28232718047794925,0.849920392036438,0.9258064516129032,0.6089984512904477,0.2719780206680298,0.06318681318681318,0.605711604246126,0.2652950882911682,0.7637362637362637
28,5,300,7,0.20677028346997373,0.833271528019436,0.83394420747564,0,1.0,10,models/zone_8/trial_015.json,0.0,0.0,0.0,0.0,1.0,1.0,0.624587781388534,0.26923078298568726,0.07692307692307693,0.6198328245152692,0.2271992564201355,0.7774725274725275
19,4,100,5,0.11255275523009048,0.8025231177435143,0.9085803971600208,0,1.0,5,models/zone_8/trial_016.json,0.22143229153058236,0.04774193465709686,0.03741935483870968,0.2182476802808471,0.9122611880302429,0.9529032258064516,0.6157279320656455,0.26923078298568726,0.06043956043956044,0.6127543868914785,0.24896830320358276,0.771978021978022
14,3,200,5,0.21727987359649745,0.8388723835843803,0.8773226001991046,0,0.1,10,models/zone_8/trial_017.json,0.0,0.0,0.0,0.0,1.0,1.0,0.602193798394515,0.2747252881526947,0.04395604395604396,0.6005874031621851,0.28162187337875366,0.7637362637362637
24,7,100,5,0.19099739819169287,0.8458874513671161,0.9695540923320031,1,0.0,1,models/zone_8/trial_018.json,0.3340851704155329,0.10387096554040909,0.05096774193548387,0.3301744879723513,0.8002787232398987,0.9,0.6333236984306414,0.2857142984867096,0.04945054945054945,0.6313901680086094,0.20543020963668823,0.7582417582417582
29,3,300,3,0.21739506150074464,0.879267804981085,0.8948341272848196,1,1.0,1,models/zone_8/trial_019.json,0.4347783994211775,0.16322579979896545,0.04838709677419355,0.4320774779252917,0.6617437601089478,0.8490322580645161,0.6157279320656455,0.2747252881526947,0.06043956043956044,0.6127543868914785,0.24896830320358276,0.7664835164835165
20,5,100,5,0.08368975530396443,0.9833579535335689,0.99110230111996,1,0.1,5,models/zone_8/trial_020.json,0.3801527657684319,0.1225806474685669,0.0696774193548387,0.3737127055162936,0.7414013147354126,0.8877419354838709,0.5693644128813827,0.24175824224948883,0.07692307692307693,0.5641441876085498,0.3578134775161743,0.7857142857142857
8,7,100,7,0.26491237338537876,0.9376868055253587,0.8950222873728981,5,0.0,5,models/zone_8/trial_021.json,0.5471333029946908,0.21161291003227234,0.08,0.5412530265131803,0.46433138847351074,0.8258064516129032,0.6311510433400241,0.27747252583503723,0.057692307692307696,0.6285087477392692,0.21087247133255005,0.771978021978022
29,7,100,3,0.1961182250008711,0.9301821898753222,0.9820696604258613,5,1.0,5,models/zone_8/trial_022.json,0.5524140632906801,0.22387096285820007,0.07419354838709677,0.5474089949026342,0.4539412260055542,0.8103225806451613,0.6044705191381597,0.2719780206680298,0.0521978021978022,0.6022125910592824,0.27617961168289185,0.7637362637362637
14,7,100,3,0.1656229529707362,0.9920689977740336,0.9024984667615152,1,1.0,10,models/zone_8/trial_023.json,0.5035358812565084,0.1941935420036316,0.06,0.49994838443260736,0.5462979078292847,0.8316129032258065,0.6089984512904477,0.26648351550102234,0.03571428571428571,0.6079503356977766,0.2652950882911682,0.771978021978022
