fire_lag,climate_lag,constant_value,length_scale,alpha,model_file,train_size,val_size,test_size,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,train_mean_prediction_std,train_max_prediction_std,train_min_prediction_std,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,val_mean_prediction_std,val_max_prediction_std,val_min_prediction_std
28,5,3.13430897529845,30.52845975879939,0.042668995681016245,models/zone_5/trial_033.pkl,1552,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.13374543589487914,0.1344264136451726,0.1262404795864603,0.7914376958255314,0.34615384615384615,0.22527472527472528,0.7586994955356325,0.008352152561207138,0.7335164835164835,0.6137638757249412,0.6583390639037225,0.3943401678274425
29,6,3.5803151393427224,3.0754029796563467,0.08701671378813358,models/zone_5/trial_034.pkl,1551,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.18549287201341585,0.18744733570478495,0.16744170760614888,0.7774288420142415,0.3516483516483517,0.22527472527472528,0.7440745275494932,0.04314681387484898,0.728021978021978,0.5922616296659217,0.6362386042888372,0.3805427224341002
18,7,9.981690917953186,14.453212643668023,0.09800472519150849,models/zone_5/trial_035.pkl,1562,364,487,0.03578281334822566,0.0012804097311139564,0.0012804097311139564,0.03575989767930587,0.9970868426745843,0.998719590268886,0.1951447129712477,0.19694561704415037,0.17439963585232562,0.7756599458837304,0.3489010989010989,0.23351648351648352,0.7396745254329418,0.04749614653905421,0.7307692307692307,0.5900446730671545,0.6242092390692333,0.4096156996684242
8,3,6.744720500047312,20.90430134387497,0.05135729334450876,models/zone_5/trial_036.pkl,1572,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.14513867213354956,0.14610819444428164,0.1287350734841307,0.7703288865196433,0.34615384615384615,0.2087912087912088,0.7414936443005423,0.0605441445316699,0.7307692307692307,0.6117119514697082,0.6591203481502741,0.3576680019265123
30,4,9.532615023168118,7.996193949764937,0.060796533041753455,models/zone_5/trial_037.pkl,1550,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.15770878588480558,0.15919136467840922,0.14012728688769535,0.7949013346750223,0.35714285714285715,0.2032967032967033,0.7684650820283406,-0.0003465127672033219,0.7225274725274725,0.605100763086106,0.6620210922263641,0.33160087176380654
21,3,1.3496772405923174,12.563773640597262,0.06455177128237645,models/zone_5/trial_038.pkl,1559,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.1610169896494254,0.1635060075351492,0.13486436097417673,0.7631628806602051,0.3516483516483517,0.1813186813186813,0.74131040612043,0.07794147518849082,0.7197802197802198,0.5897048993432509,0.6716121376797684,0.28791664913463516
18,6,9.499724407611206,2.586880875003682,0.015428472522931539,models/zone_5/trial_039.pkl,1562,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.08159082554821188,0.08171293040669428,0.07960084703492541,0.7914376958255314,0.35714285714285715,0.23076923076923078,0.7570463582263663,0.008352152561207138,0.7252747252747253,0.623050021406382,0.6591305490441473,0.42387848703027464
21,5,3.782932446859769,38.3911391181304,0.05743478565555618,models/zone_5/trial_040.pkl,1559,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.1534212663370127,0.15446930998289313,0.14282257813291643,0.7914376958255314,0.34615384615384615,0.22527472527472528,0.7586994955356325,0.008352152561207138,0.7335164835164835,0.6067251170447641,0.6507778682594542,0.3923974084068258
23,5,4.0405370549292545,32.828476098595544,0.025036204144030454,models/zone_5/trial_041.pkl,1557,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.1037199020571938,0.10371990205719382,0.10371990205719382,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.6555077897813179,0.6555077897813179,0.6555077897813179
10,3,7.383181108846334,25.453154052566873,0.038760039265922426,models/zone_5/trial_042.pkl,1570,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.12707550216333485,0.12782337863449378,0.11444039121685347,0.7703288865196433,0.34615384615384615,0.1978021978021978,0.7445004257562339,0.0605441445316699,0.7307692307692307,0.6126269047214857,0.6667301819082929,0.3421412014669634
24,3,2.691589098216209,13.754198785855266,0.04468268392932106,models/zone_5/trial_043.pkl,1556,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.13601649943189864,0.13747536134839955,0.11840945894118182,0.7595545253127499,0.3516483516483517,0.17582417582417584,0.7389241748101265,0.08664014051690128,0.717032967032967,0.5985463342664273,0.6805546080160032,0.28630138408380984
26,5,6.970408346303858,49.932813331997465,0.02009781626501291,models/zone_5/trial_044.pkl,1554,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.09324054288144254,0.09324054288144255,0.09324054288144255,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.6577038102596714,0.6577038102596714,0.6577038102596714
11,3,4.575222583929434,45.03527250852529,0.04456660815497126,models/zone_5/trial_045.pkl,1569,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.13654396191675439,0.1365439619167544,0.1365439619167544,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.64679657109075,0.6467965710907501,0.6467965710907501
9,5,6.7116139258407825,35.76748385415982,0.05504471503394037,models/zone_5/trial_046.pkl,1571,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.15017057907766188,0.15086845739595525,0.1422459224171756,0.8086075400626399,0.34615384615384615,0.24725274725274726,0.769878063606259,-0.03514117408084516,0.7417582417582418,0.613272272349069,0.6456706464202515,0.4341803943722586
16,5,8.528484302455945,35.87864609635342,0.09273971322664547,models/zone_5/trial_047.pkl,1564,364,487,0.02528608687120868,0.0006393861892583121,0.0006393861892583121,0.025278001791267,0.9985437019766172,0.9993606138107417,0.19032775989704945,0.1923066684091468,0.1709316445541753,0.8052028616141701,0.34615384615384615,0.23626373626373626,0.769760414205841,-0.0264425087524347,0.739010989010989,0.5940045103599344,0.6349123701193192,0.3922070681015707
27,4,7.957594200065527,25.92903151354074,0.012224109262337843,models/zone_5/trial_048.pkl,1553,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.07293026759245387,0.0730508638290704,0.07125065398908312,0.8034951123711928,0.36538461538461536,0.21703296703296704,0.7736285199146051,-0.02209317608822947,0.717032967032967,0.6269666900516472,0.6773039955289688,0.35323167391832666
