fire_lag,climate_lag,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,model_file,train_size,val_size,test_size,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
27,3,100,7,0.08975850232704458,0.8446421476297645,0.9472942428328025,5,1.0,10,models/regional/trial_001.json,1553,364,487,0.9261181375334502,0.5370250940322876,0.0412105602060528,0.9252007749758845,0.974071741104126,0.5782356728911784,2.574707910952462,1.5686813592910767,0.4368131868131868,2.5373835183012807,0.8386940360069275,0.36813186813186816
9,7,200,3,0.0186411936370404,0.8437275949607207,0.9010710576206725,0,1.0,1,models/regional/trial_002.json,1571,364,487,1.7957442996914308,1.1164863109588623,0.05346912794398472,1.7949481043108548,0.9016810655593872,0.38765117759388923,2.5901334436570886,1.6263736486434937,0.43956043956043955,2.552562992124708,0.8367554545402527,0.3324175824175824
29,7,200,3,0.14027062342231755,0.8556381416461326,0.9738600641585868,0,1.0,5,models/regional/trial_003.json,1551,364,487,0.8584543672118947,0.5048356056213379,0.005802707930367505,0.8584347591618994,0.9777483344078064,0.5938104448742747,2.655080111313302,1.6538461446762085,0.31868131868131866,2.6358855753947448,0.8284661769866943,0.33791208791208793
17,5,100,3,0.28759179093996656,0.8673189090225254,0.8185491686760297,0,0.1,5,models/regional/trial_004.json,1563,364,487,0.9621765707992898,0.5892514586448669,0.009596928982725527,0.9621287066470663,0.9718756079673767,0.5412667946257198,2.652492063979664,1.6565934419631958,0.3434065934065934,2.63016847318174,0.8288004398345947,0.3516483516483517
26,5,100,7,0.14323321510483433,0.8249652325706419,0.984459074405632,0,1.0,5,models/regional/trial_005.json,1554,364,487,0.20134681206375518,0.039253540337085724,0.023809523809523808,0.1999341069365211,0.9987736940383911,0.9613899613899614,2.861740884531259,1.7609890699386597,0.4697802197802198,2.8229181682549154,0.8007239699363708,0.3434065934065934
27,7,200,7,0.06576369117443137,0.8139110297647483,0.932252663713542,1,0.0,1,models/regional/trial_006.json,1553,364,487,0.4238540887570851,0.174500972032547,0.030264005151320026,0.4227722506154612,0.9945690631866455,0.8280746941403735,2.6854307503302586,1.6950548887252808,0.33791208791208793,2.664085937499268,0.8245221376419067,0.34065934065934067
10,6,200,5,0.19434848883667605,0.8729664357940169,0.8740361934233766,0,1.0,5,models/regional/trial_007.json,1570,364,487,0.10095089377715652,0.010191082954406738,0.008917197452229299,0.1005562846974058,0.9996894001960754,0.9898089171974522,2.8269698170581194,1.7115384340286255,0.42032967032967034,2.7955466746235507,0.8055371046066284,0.34615384615384615
29,3,300,7,0.05963020797744813,0.9458253595900699,0.8326804987523857,1,0.1,10,models/regional/trial_008.json,1551,364,487,0.555147061238365,0.25402966141700745,0.0425531914893617,0.5535137681477705,0.9906944036483765,0.7704706640876854,2.616515571540613,1.609890103340149,0.5,2.5682978499686997,0.8334130048751831,0.3543956043956044
29,7,100,7,0.10404199298044332,0.9536627155184745,0.8111875895098568,0,0.1,5,models/regional/trial_009.json,1551,364,487,0.27465470375374923,0.07285622507333755,0.03288201160541586,0.2726792555504706,0.9977222681045532,0.9284332688588007,2.9492037134860887,1.807692289352417,0.532967032967033,2.9006461934494037,0.7883569598197937,0.32142857142857145
15,3,100,7,0.264146611677074,0.8629355761596956,0.931087733058976,1,1.0,5,models/regional/trial_010.json,1565,364,487,0.523566045207434,0.24600638449192047,0.031309904153354634,0.5226290229720374,0.991664469242096,0.7667731629392971,2.8670158646686486,1.7362637519836426,0.5384615384615384,2.8159970510243535,0.7999886274337769,0.33791208791208793
11,5,100,3,0.22604680480656592,0.9077954579334581,0.9494027623304516,1,1.0,5,models/regional/trial_011.json,1569,364,487,1.053084334768419,0.6411727070808411,0.015296367112810707,1.0529732365221476,0.966216504573822,0.5245379222434672,2.654045267088457,1.5934065580368042,0.26373626373626374,2.6409087881156514,0.8285998702049255,0.3791208791208791
18,4,100,7,0.153119592117993,0.9511564315067476,0.9722205819333332,0,1.0,1,models/regional/trial_012.json,1562,364,487,0.07156562721299412,0.005121638998389244,0.0038412291933418692,0.0714624648521169,0.999844491481781,0.9948783610755442,2.751123632278598,1.6950548887252808,0.3324175824175824,2.730966837876463,0.8158317804336548,0.3241758241758242
28,6,300,3,0.121582520385605,0.9191776856722256,0.8936099775569355,1,1.0,1,models/regional/trial_013.json,1552,364,487,0.7071067811865476,0.39819586277008057,0.020618556701030927,0.7068061085754469,0.9848946332931519,0.6507731958762887,2.625948325927819,1.6538461446762085,0.3901098901098901,2.5968093247758572,0.8322097063064575,0.33516483516483514
28,3,300,7,0.2277545618815668,0.9537197465314892,0.8680350946062091,1,0.1,1,models/regional/trial_014.json,1552,364,487,0.5051283396152885,0.23840206861495972,0.03608247422680412,0.5038379642592743,0.9922915697097778,0.7699742268041238,2.824539271906351,1.7637362480163574,0.25274725274725274,2.8132082760170274,0.805871307849884,0.34065934065934067
21,3,300,7,0.0863828247178163,0.9001172226100597,0.8357303761060263,0,1.0,5,models/regional/trial_015.json,1559,364,487,0.050653206806356856,0.002565747359767556,0.0012828736369467607,0.05063695793711495,0.9999222159385681,0.9974342527261065,2.6353472272045235,1.6648352146148682,0.43956043956043955,2.5984305965386834,0.8310064673423767,0.3269230769230769
27,7,300,3,0.05432338787939409,0.9525021600150303,0.9078758060239251,5,0.0,10,models/regional/trial_016.json,1553,364,487,1.2389888727121026,0.7636831998825073,0.0103026400515132,1.2389460130624885,0.9535938501358032,0.4822923374114617,2.5,1.563186764717102,0.3434065934065934,2.476302063885761,0.8479191660881042,0.3543956043956044
17,6,100,3,0.27943859871673893,0.9757443755646369,0.9663331058722359,1,0.0,1,models/regional/trial_017.json,1563,364,487,0.8235186455427586,0.4939219355583191,0.005118362124120281,0.8235027527671681,0.9793974757194519,0.5860524632117722,2.8001177013726632,1.7582417726516724,0.29120879120879123,2.784933891599952,0.8092137575149536,0.3076923076923077
14,7,100,3,0.22225320250494204,0.9632046506840177,0.9955968987354669,5,0.0,1,models/regional/trial_018.json,1566,364,487,1.0936365341186967,0.6787995100021362,0.0070242656449553,1.0936139758373657,0.9636150002479553,0.5076628352490421,2.560799197081059,1.5741758346557617,0.23901098901098902,2.5496207668640243,0.8404321074485779,0.3543956043956044
28,6,300,3,0.08686642239261713,0.9744866082170515,0.8846275880401774,0,1.0,10,models/regional/trial_019.json,1552,364,487,0.9893114352214804,0.593427836894989,0.01610824742268041,0.9891802857755665,0.9704316258430481,0.5515463917525774,2.598604829301371,1.5934065580368042,0.38461538461538464,2.569984096967219,0.8356858491897583,0.34065934065934067
29,4,300,5,0.12570776699925446,0.9343373919276566,0.8746841005058588,5,0.1,1,models/regional/trial_020.json,1551,364,487,0.887262119058889,0.5383623242378235,0.029013539651837523,0.8867876053881576,0.9762298464775085,0.5654416505480335,2.683383983426253,1.6510988473892212,0.3543956043956044,2.659878419427197,0.8247895240783691,0.33516483516483514
14,4,100,5,0.016099935402047075,0.910784304484896,0.9176880228820702,0,0.0,10,models/regional/trial_021.json,1566,364,487,2.3792687251107814,1.4591315984725952,0.09259259259259259,2.3774663303666084,0.8277880549430847,0.17752234993614305,3.221237850736208,2.0796704292297363,0.7445054945054945,3.1340206117740763,0.7475124001502991,0.17582417582417584
27,3,100,3,0.2725718037717771,0.9719270800507493,0.8141714699777307,0,0.1,10,models/regional/trial_022.json,1553,364,487,1.0067384304483533,0.6194462180137634,0.0103026400515132,1.0066856861382207,0.9693610668182373,0.5299420476497102,2.645232114792876,1.6071428060531616,0.38186813186813184,2.6175235389803637,0.8297363519668579,0.34615384615384615
