lstm_units,batch_size,dropout_rate,learning_rate,lag_days,num_layers,sequence_length,activation_function,optimizer,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
96,16,0.11000430208906678,0.0027575428905075015,1,1,30,relu,adam,0.6512638554575524,0.22918011620400258,0.045836023240800515,0.6496488808571169,0.37490064801449585,0.8321497740477728,0.8512055557875505,0.3712574850299401,0.08982035928143713,0.8464533071954686,0.2070166488438029,0.7574850299401198,models/zone_3/trial_001.h5
32,16,0.30214211524134493,0.00027509433714179764,1,3,27,tanh,adam,0.6867674166237668,0.25128865979381443,0.05154639175257732,0.6848302373825008,0.3036895022395909,0.8125,0.8901038515077007,0.40059347181008903,0.09198813056379822,0.8853378170530276,0.12636658446123072,0.7270029673590505,models/zone_3/trial_002.h5
32,16,0.48288522888271246,0.0033725795056751416,1,2,10,tanh,rmsprop,0.6941437632461573,0.2498406628425749,0.04206500956022945,0.6928680242472119,0.28233753787475435,0.8151688973868706,0.8700931828790841,0.4011299435028249,0.05084745762711865,0.8686061725232637,0.13134402153510927,0.7175141242937854,models/zone_3/trial_003.h5
64,16,0.3208162525092908,0.00829575259588742,3,2,25,relu,adam,0.703452458112659,0.25128865979381443,0.061855670103092786,0.700727648163564,0.2694447236612101,0.8157216494845361,0.9055710888992358,0.3775811209439528,0.17699115044247787,0.8881064855720824,0.09124045359870392,0.7551622418879056,models/zone_3/trial_004.h5
32,32,0.21118944124403685,0.006360487598201358,2,1,18,tanh,adam,0.6329621044272916,0.22756410256410256,0.03397435897435897,0.6320496567306298,0.4060639952338919,0.8243589743589743,0.7955802768285628,0.3554913294797688,0.08959537572254335,0.7905192252739646,0.2870074146561781,0.7369942196531792,models/zone_3/trial_005.h5
32,64,0.3539913152788241,0.005346057371526783,1,1,21,tanh,rmsprop,0.6807456457050177,0.24390243902439024,0.06033376123234917,0.6780667160404641,0.31378911299448475,0.8164313222079589,0.8503129247346799,0.37317784256559766,0.08163265306122448,0.8463853613603152,0.19082226703702299,0.7405247813411079,models/zone_3/trial_006.h5
96,32,0.43714076807592384,0.007762239116346986,1,1,17,tanh,rmsprop,0.6826925677971601,0.22407170294494239,0.117797695262484,0.6724528571701714,0.30827987894824893,0.8437900128040973,0.8738928771920025,0.34293948126801155,0.18155619596541786,0.8548251917868841,0.13764160852276996,0.7809798270893372,models/zone_3/trial_007.h5
96,32,0.18505061762165625,0.00499732028232785,3,2,11,tanh,adam,0.6437636779536127,0.23435504469987228,0.041507024265644954,0.642424190071462,0.3837830562076794,0.8205619412515964,0.8228328046223037,0.35410764872521244,0.09348441926345609,0.8175050383438506,0.22499540694469966,0.7450424929178471,models/zone_3/trial_008.h5
96,32,0.2447985774854444,0.009973284522111719,1,3,22,relu,adam,0.6666666666666666,0.2350674373795761,0.046242774566473986,0.6650609372417228,0.3422559200043953,0.8285163776493256,0.853270282758398,0.35964912280701755,0.15497076023391812,0.8390793996464925,0.18718323168112683,0.7660818713450293,models/zone_3/trial_009.h5
64,64,0.20056564799272528,0.005536726703190722,1,3,30,relu,rmsprop,0.6883706119663884,0.23111684958037443,0.11103938024531956,0.6793558386101612,0.3016393845397869,0.8392511297611362,0.9413965927865788,0.39520958083832336,0.17964071856287425,0.9240978071310384,0.030069950651924193,0.7544910179640718,models/zone_3/trial_010.h5
96,16,0.3030726698417301,0.0010730441197490728,3,2,27,relu,adam,0.6410676578454757,0.24193548387096775,-0.004516129032258065,0.641051750262058,0.39397231551862977,0.8161290322580645,0.7950141368207279,0.3590504451038576,0.050445103857566766,0.7934121055552446,0.3030564887274986,0.7418397626112759,models/zone_3/trial_011.h5
96,32,0.29544228321157917,0.0011275585759557417,2,2,14,relu,adam,0.712062671456552,0.2666240409207161,0.04283887468030691,0.7107728743402961,0.24695198958576203,0.801150895140665,0.8717797887081347,0.38857142857142857,0.09142857142857143,0.8669722119690633,0.13627550121069865,0.7285714285714285,models/zone_3/trial_012.h5
96,16,0.15135658579990513,0.004758070957206326,3,1,15,tanh,adam,0.6244075296824981,0.22727272727272727,0.02240717029449424,0.6240053540183716,0.42134951412016974,0.8258642765685019,0.7921534973247181,0.35816618911174786,0.06017191977077364,0.7898648640083199,0.28856392881078274,0.7306590257879656,models/zone_3/trial_013.h5
32,64,0.22468651652035798,0.009951542073042339,3,2,21,tanh,adam,0.6383220291149839,0.22879177377892032,0.05012853470437018,0.6363506445835214,0.39734245288263403,0.8251928020565553,0.8063161740872821,0.35276967930029157,0.09620991253644315,0.800555697827754,0.27239260302119406,0.7434402332361516,models/zone_3/trial_014.h5
32,16,0.12839723440361303,0.006314718543128288,1,1,8,tanh,adam,0.6357681540994542,0.24506683640993,-0.008274984086569064,0.6357142993557676,0.3972849623478689,0.8071292170591979,0.8244848578954476,0.37640449438202245,0.03932584269662921,0.8235464522387771,0.2169708427252237,0.7219101123595506,models/zone_3/trial_015.h5
32,64,0.15292473949001,0.009355787263400904,3,3,22,relu,rmsprop,0.693098731848524,0.23086816720257236,0.13054662379421222,0.6806933458657904,0.2898788083308268,0.8366559485530547,0.9208437524218042,0.38011695906432746,0.21052631578947367,0.8964551783186822,0.05334593248002717,0.7602339181286549,models/zone_3/trial_016.h5
32,64,0.36138219530631666,0.006465335715436894,1,2,30,tanh,adam,0.6432848239710405,0.2317624273724984,0.06262104583602324,0.640229622377671,0.3901237676975523,0.8237572627501614,0.8582114809927588,0.3652694610778443,0.1377245508982036,0.8470884807313063,0.19390948601477487,0.7455089820359282,models/zone_3/trial_017.h5
64,16,0.44979438162823204,0.0007630950348591508,3,1,8,relu,adam,0.6539578966026783,0.2517527087316762,-0.010834926704907584,0.6538681326477829,0.3630271004152912,0.8056086679413639,0.8446793155200474,0.37640449438202245,0.0898876404494382,0.8398829431306771,0.1781429506289538,0.7443820224719101,models/zone_3/trial_018.h5
