lstm_units,batch_size,dropout_rate,learning_rate,lag_days,num_layers,sequence_length,activation_function,optimizer,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
96,16,0.11000430208906678,0.0027575428905075015,1,1,30,relu,adam,0.909387239689881,0.40219496449322145,0.06778566817301485,0.9068573509108913,0.6498172908215507,0.7288573273079406,1.1786524326052306,0.688622754491018,0.029940119760479042,1.1782721018996232,0.42102274425416175,0.5538922155688623,models/zone_2/trial_001.h5
32,16,0.30214211524134493,0.00027509433714179764,1,3,27,tanh,adam,1.0579229796766092,0.4800257731958763,0.030283505154639175,1.057489451599109,0.5253328741298156,0.6836340206185567,1.2469547475482958,0.7418397626112759,0.04154302670623145,1.2462625403041365,0.3483741457438486,0.5370919881305638,models/zone_2/trial_002.h5
32,16,0.48288522888271246,0.0033725795056751416,1,2,10,tanh,rmsprop,1.0663160673016214,0.5289993626513703,-0.03186743148502231,1.0658397732286702,0.5134271424290191,0.6290630975143403,1.2293491916572152,0.7542372881355932,-0.0480225988700565,1.2284108697931708,0.34525126531515327,0.5028248587570622,models/zone_2/trial_003.h5
64,16,0.3208162525092908,0.00829575259588742,3,2,25,relu,adam,1.0826061529818805,0.45940721649484534,0.1411082474226804,1.073370646600477,0.5029248693391677,0.7197164948453608,1.2714240732506592,0.7256637168141593,0.3303834808259587,1.2277483168950474,0.3200445075618932,0.5693215339233039,models/zone_2/trial_004.h5
32,32,0.21118944124403685,0.006360487598201358,2,1,18,tanh,adam,0.9809074814575977,0.4621794871794872,0.009615384615384616,0.9808603527302882,0.590178968975164,0.6807692307692308,1.1642556976368073,0.6734104046242775,0.002890173410404624,1.1642521103169308,0.42183964969911614,0.5578034682080925,models/zone_2/trial_005.h5
32,64,0.3539913152788241,0.005346057371526783,1,1,21,tanh,rmsprop,1.0516201816333144,0.4871630295250321,0.044287548138639284,1.0506872129698508,0.5294541428685615,0.6777920410783055,1.222958225843154,0.7201166180758017,0.0029154518950437317,1.2229547507155292,0.36624238233133066,0.5393586005830904,models/zone_2/trial_006.h5
96,32,0.43714076807592384,0.007762239116346986,1,1,17,tanh,rmsprop,1.1433714774592505,0.6811779769526248,-0.3047375160051216,1.1020133310474869,0.4426006623914597,0.4980793854033291,1.2816595869535605,0.8357348703170029,-0.29394812680115273,1.2474958098446922,0.2973362796018274,0.4322766570605187,models/zone_2/trial_007.h5
96,32,0.18505061762165625,0.00499732028232785,3,2,11,tanh,adam,0.9243409166904812,0.42528735632183906,0.08173690932311622,0.9207199400048334,0.6349418850188931,0.7017879948914432,1.1612243221469352,0.6515580736543909,0.07932011331444759,1.158512082789555,0.41686506146189783,0.5807365439093485,models/zone_2/trial_008.h5
96,32,0.2447985774854444,0.009973284522111719,1,3,22,relu,adam,1.1302462773213828,0.5388567758509955,-0.0340398201669878,1.1297335694940833,0.4567457507951799,0.653179190751445,1.2507307805359702,0.7865497076023392,0.043859649122807015,1.249961526031478,0.33835016055775735,0.48830409356725146,models/zone_2/trial_009.h5
64,64,0.20056564799272528,0.005536726703190722,1,3,30,relu,rmsprop,1.2737099322873668,0.5248547449967721,0.3867010974822466,1.213589408660736,0.3130295486608562,0.7262750161394448,1.5094512624700591,0.8413173652694611,0.6497005988023952,1.3624728421837493,0.05042738874443342,0.5688622754491018,models/zone_2/trial_010.h5
96,16,0.3030726698417301,0.0010730441197490728,3,2,27,relu,adam,1.0191710736767183,0.4425806451612903,0.13161290322580646,1.010637284649557,0.5599325024101874,0.7232258064516129,1.2879261272288924,0.7329376854599406,0.32344213649851633,1.24665107128502,0.30484951807406746,0.5667655786350149,models/zone_2/trial_011.h5
96,32,0.29544228321157917,0.0011275585759557417,2,2,14,relu,adam,1.0258799479077372,0.4731457800511509,0.030690537084398978,1.0254207714166186,0.5508018180498401,0.6809462915601023,1.178376607274359,0.68,0.14857142857142858,1.1689730361234485,0.4027723161620135,0.5657142857142857,models/zone_2/trial_012.h5
96,16,0.15135658579990513,0.004758070957206326,3,1,15,tanh,adam,1.0015992333901744,0.44238156209987195,0.11843790012804098,0.9945720125466255,0.5722601557137205,0.7119078104993598,1.1654038738187495,0.6590257879656161,0.1489971346704871,1.1558399729078987,0.41691046364898876,0.5730659025787965,models/zone_2/trial_013.h5
32,64,0.22468651652035798,0.009951542073042339,3,2,21,tanh,adam,1.0016053951578208,0.4466580976863753,0.13046272493573266,0.9930724268710707,0.5735943047503482,0.7011568123393316,1.1829695303011787,0.6763848396501457,0.13994169096209913,1.1746630294478753,0.40701041621644984,0.5568513119533528,models/zone_2/trial_014.h5
