lstm_units,batch_size,dropout_rate,learning_rate,lag_days,num_layers,sequence_length,activation_function,optimizer,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
96,16,0.11000430208906678,0.0027575428905075015,1,1,30,relu,adam,0.6640253248338187,0.3066494512588767,0.010974822466107165,0.6639346242609252,0.21106820818903915,0.7449967721110394,0.6451105832883682,0.2964071856287425,0.02694610778443114,0.6445475715150345,0.22521319737654588,0.7485029940119761,models/zone_8/trial_001.h5
32,16,0.30214211524134493,0.00027509433714179764,1,3,27,tanh,adam,0.7048250495800102,0.3228092783505155,0.035438144329896906,0.7039335824081113,0.11010696487628346,0.7364690721649485,0.6468366301569196,0.31750741839762614,0.026706231454005934,0.6462850789816246,0.21560632572881244,0.7181008902077152,models/zone_8/trial_002.h5
32,16,0.48288522888271246,0.0033725795056751416,1,2,10,tanh,rmsprop,0.6849004244848504,0.29318036966220523,0.09560229445506692,0.6781952467796092,0.15205878983866283,0.7660930528999362,0.622097781476123,0.2796610169491525,0.09887005649717515,0.6141908185944817,0.24720601018254063,0.7598870056497176,models/zone_8/trial_003.h5
64,16,0.3208162525092908,0.00829575259588742,3,2,25,relu,adam,0.666774046335023,0.31056701030927836,0.006443298969072165,0.6667429135464242,0.20359767284647945,0.7396907216494846,0.651750535912282,0.31268436578171094,0.017699115044247787,0.6515101705949012,0.19994755473974046,0.7286135693215339,models/zone_8/trial_004.h5
32,32,0.21118944124403685,0.006360487598201358,2,1,18,tanh,adam,0.6548634619874236,0.2903846153846154,0.06346153846153846,0.6517812416618388,0.22850546774683578,0.7583333333333333,0.6540226790715169,0.2947976878612717,0.06936416184971098,0.6503339740400862,0.1813138499416458,0.7543352601156069,models/zone_8/trial_005.h5
32,64,0.3539913152788241,0.005346057371526783,1,1,21,tanh,rmsprop,0.7143315591376138,0.365211810012837,-0.05840821566110398,0.7119396440171458,0.0830035721556942,0.6854942233632862,0.6765544675204399,0.37026239067055394,-0.08454810495626822,0.6712507470909583,0.12991986040199066,0.6588921282798834,models/zone_8/trial_006.h5
96,32,0.43714076807592384,0.007762239116346986,1,1,17,tanh,rmsprop,0.6684781194315718,0.29577464788732394,0.07042253521126761,0.6647583490962626,0.19523582109823234,0.7573623559539052,0.6441937525140228,0.2881844380403458,0.069164265129683,0.6404700580098722,0.20392556716798382,0.7579250720461095,models/zone_8/trial_007.h5
96,32,0.18505061762165625,0.00499732028232785,3,2,11,tanh,adam,0.6613774858577279,0.29182630906768836,0.05300127713920817,0.6592503647485544,0.2105629185129254,0.7624521072796935,0.6540351975697154,0.29745042492917845,0.06515580736543909,0.6507816534188825,0.16978692916329208,0.7507082152974505,models/zone_8/trial_008.h5
96,32,0.2447985774854444,0.009973284522111719,1,3,22,relu,adam,0.6613467895952166,0.28837508028259473,0.054592164418754016,0.6590897296210703,0.2144124079803692,0.7642903018625562,0.6443637779721739,0.28654970760233917,0.06432748538011696,0.6411447987679881,0.21255654824639647,0.7631578947368421,models/zone_8/trial_009.h5
64,64,0.20056564799272528,0.005536726703190722,1,3,30,relu,rmsprop,0.713242805917924,0.33570045190445447,0.019367333763718526,0.7129798079725387,0.08978294004826193,0.723047127178825,0.6611548596985384,0.32934131736526945,0.017964071856287425,0.6609107660080414,0.18619515695665978,0.7095808383233533,models/zone_8/trial_010.h5
96,16,0.3030726698417301,0.0010730441197490728,3,2,27,relu,adam,0.6657520607941164,0.30516129032258066,0.008387096774193548,0.6656992286756184,0.20688712600205128,0.7464516129032258,0.660455736908561,0.3115727002967359,0.020771513353115726,0.6601290212136197,0.1822278715045066,0.7359050445103857,models/zone_8/trial_011.h5
