lstm_units,batch_size,dropout_rate,learning_rate,lag_days,num_layers,sequence_length,activation_function,optimizer,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
96,16,0.11000430208906678,0.0027575428905075015,1,1,30,relu,adam,0.5490763416155218,0.2278889606197547,0.0342156229825694,0.548009233558888,0.3189163793444345,0.8011620400258231,0.7442393536819067,0.36227544910179643,0.0748502994011976,0.740465831925021,0.17498931852168342,0.6976047904191617,models/zone_5/trial_001.h5
32,16,0.30214211524134493,0.00027509433714179764,1,3,27,tanh,adam,0.6086786432278115,0.25966494845360827,0.047036082474226804,0.6068585483184095,0.16165324535264303,0.7809278350515464,0.7348873023675188,0.36795252225519287,0.0712166172106825,0.7314284248059245,0.19009639508781184,0.6824925816023739,models/zone_5/trial_002.h5
32,16,0.48288522888271246,0.0033725795056751416,1,2,10,tanh,rmsprop,0.5909881970698269,0.248565965583174,0.03824091778202677,0.5897496767977349,0.20233118657842164,0.7903123008285532,0.7287478619712606,0.3672316384180791,0.07909604519774012,0.7244427251079002,0.17695798963653675,0.6807909604519774,models/zone_5/trial_003.h5
64,16,0.3208162525092908,0.00829575259588742,3,2,25,relu,adam,0.6022937256511667,0.26353092783505155,0.01610824742268041,0.6020782808935501,0.17914917762354443,0.7731958762886598,0.7246197253129978,0.3480825958702065,0.08259587020648967,0.7198969846703882,0.20900296253572082,0.7050147492625368,models/zone_5/trial_004.h5
32,32,0.21118944124403685,0.006360487598201358,2,1,18,tanh,adam,0.5535433645255414,0.2153846153846154,0.07435897435897436,0.5485262066141761,0.30362085775441816,0.8185897435897436,0.7312195846152204,0.33815028901734107,0.13005780346820808,0.7195603162222611,0.18413908255477518,0.7225433526011561,models/zone_5/trial_005.h5
32,64,0.3539913152788241,0.005346057371526783,1,1,21,tanh,rmsprop,0.5743780472882605,0.24646983311938384,0.006418485237483954,0.574342183940838,0.2510287911890582,0.7869062901155327,0.7344103761406768,0.3760932944606414,0.03206997084548105,0.7337098319860927,0.1824284278609527,0.673469387755102,models/zone_5/trial_006.h5
96,32,0.43714076807592384,0.007762239116346986,1,1,17,tanh,rmsprop,0.5730838472952539,0.24775928297055058,0.013444302176696543,0.5729261267997049,0.2527751460308698,0.7848911651728553,0.7281891004363058,0.3688760806916426,0.0345821325648415,0.7273674739095116,0.18910818156417497,0.6772334293948127,models/zone_5/trial_007.h5
96,32,0.18505061762165625,0.00499732028232785,3,2,11,tanh,adam,0.583401747493345,0.2547892720306513,-0.0031928480204342275,0.5833930104996177,0.22394229481858352,0.7796934865900383,0.7258871684381231,0.35127478753541075,0.0679886685552408,0.7226961479426895,0.18516220308272735,0.7025495750708215,models/zone_5/trial_008.h5
96,32,0.2447985774854444,0.009973284522111719,1,3,22,relu,adam,0.5678159036603171,0.21836865767501606,0.10404624277456648,0.5582018271325153,0.26844348602523704,0.8220937700706487,0.7550996216370998,0.34210526315789475,0.17251461988304093,0.7351286584830584,0.13685545661627674,0.7251461988304093,models/zone_5/trial_009.h5
64,64,0.20056564799272528,0.005536726703190722,1,3,30,relu,rmsprop,0.6249596500854998,0.2317624273724984,0.1697869593285991,0.6014540320564314,0.1176539818059591,0.8276307295029051,0.7872486767482789,0.37425149700598803,0.23053892215568864,0.7527365305425329,0.07687994018372146,0.7065868263473054,models/zone_5/trial_010.h5
96,16,0.3030726698417301,0.0010730441197490728,3,2,27,relu,adam,0.603217181239009,0.2567741935483871,0.05548387096774193,0.600660060104191,0.1775300687931839,0.7838709677419354,0.7488864136396952,0.3590504451038576,0.13353115727002968,0.736885534240055,0.15894625643734306,0.7002967359050445,models/zone_5/trial_011.h5
96,32,0.29544228321157917,0.0011275585759557417,2,2,14,relu,adam,0.608444412892881,0.28452685421994883,-0.03516624040920716,0.6074273117962712,0.1568034444614118,0.7487212276214834,0.7211102550927979,0.3657142857142857,0.02857142857142857,0.7205440121667709,0.20031133875665375,0.6771428571428572,models/zone_5/trial_012.h5
96,16,0.15135658579990513,0.004758070957206326,3,1,15,tanh,adam,0.5702842025717922,0.22919334186939821,0.06274007682458387,0.5668225070187229,0.2600580393444091,0.8066581306017926,0.7221426253495252,0.33810888252148996,0.12034383954154727,0.7120444730711019,0.19976314662231953,0.7163323782234957,models/zone_5/trial_013.h5
32,64,0.22468651652035798,0.009951542073042339,3,2,21,tanh,adam,0.5623125223135642,0.2275064267352185,0.05912596401028278,0.5591953979875884,0.28294662225702394,0.8059125964010283,0.7403411080496757,0.34402332361516036,0.13411078717201166,0.728092887640255,0.16917051047491416,0.7230320699708455,models/zone_5/trial_014.h5
32,16,0.12839723440361303,0.006314718543128288,1,1,8,tanh,adam,0.5550531712505934,0.23042647994907703,0.02673456397199236,0.5544089519520478,0.2956240284728101,0.800763844684914,0.7266979342480956,0.34831460674157305,0.08426966292134831,0.7217953391035244,0.17806133100814225,0.7050561797752809,models/zone_5/trial_015.h5
32,64,0.15292473949001,0.009355787263400904,3,3,22,relu,rmsprop,0.594724935744367,0.24694533762057877,0.06816720257234726,0.5908053670115074,0.19833790443981603,0.7922829581993569,0.7550996216370998,0.3713450292397661,0.11403508771929824,0.7464391719124495,0.13685545661627674,0.6871345029239766,models/zone_5/trial_016.h5
32,64,0.36138219530631666,0.006465335715436894,1,2,30,tanh,adam,0.5502508378059346,0.21755971594577148,0.06778566817301485,0.5460596008646592,0.3159995330032972,0.81536475145255,0.7542295906745518,0.3532934131736527,0.1437125748502994,0.7404113527485913,0.15269173253578294,0.7155688622754491,models/zone_5/trial_017.h5
