lstm_units,batch_size,dropout_rate,learning_rate,lag_days,num_layers,sequence_length,activation_function,optimizer,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
96,16,0.11000430208906678,0.0027575428905075015,1,1,30,relu,adam,0.6362210902364973,0.262750161394448,0.06003873466752744,0.6333818958584462,0.2738411041660438,0.7876049063912202,0.6543269156735418,0.2844311377245509,0.05089820359281437,0.6523442997726543,0.056385332701122115,0.7664670658682635,models/zone_4/trial_001.h5
32,16,0.30214211524134493,0.00027509433714179764,1,3,27,tanh,adam,0.6853586614651929,0.2777061855670103,0.11791237113402062,0.6751393690038479,0.1563682783592174,0.7867268041237113,0.6582054552835195,0.2789317507418398,0.12462908011869436,0.6462987031967132,0.03808406647116325,0.7774480712166172,models/zone_4/trial_002.h5
32,16,0.48288522888271246,0.0033725795056751416,1,2,10,tanh,rmsprop,0.6381737807044293,0.24920331421287445,0.11153601019757807,0.628351408694045,0.2624276104382217,0.8062460165710643,0.690942204488554,0.2796610169491525,0.1384180790960452,0.6769354218260881,-0.09764420959929532,0.788135593220339,models/zone_4/trial_003.h5
64,16,0.3208162525092908,0.00829575259588742,3,2,25,relu,adam,0.6565490850126348,0.26353092783505155,0.10631443298969072,0.6478842044447515,0.22580298795928178,0.7957474226804123,0.6870053865727263,0.2713864306784661,0.15339233038348082,0.6696619999368832,-0.05308119442395065,0.7935103244837758,models/zone_4/trial_004.h5
32,32,0.21118944124403685,0.006360487598201358,2,1,18,tanh,adam,0.6248076627127866,0.25064102564102564,0.08653846153846154,0.6187856737669123,0.2961159833475463,0.8006410256410257,0.6649785949877691,0.28034682080924855,0.1069364161849711,0.656323955593137,-0.0005481109074068069,0.7803468208092486,models/zone_4/trial_005.h5
32,64,0.3539913152788241,0.005346057371526783,1,1,21,tanh,rmsprop,0.6698149879631901,0.32413350449293965,-0.08279845956354301,0.6646777664357615,0.19194289059595815,0.7220795892169448,0.674396393545237,0.3556851311953353,-0.10495626822157435,0.6661791631294266,-0.02470412501436292,0.6793002915451894,models/zone_4/trial_006.h5
96,32,0.43714076807592384,0.007762239116346986,1,1,17,tanh,rmsprop,0.6583454214787814,0.2605633802816901,0.11843790012804098,0.6476041675246805,0.21766702942162164,0.7970550576184379,0.6618461647704289,0.27089337175792505,0.10951008645533142,0.6527234382078457,0.00647980711271845,0.7896253602305475,models/zone_4/trial_007.h5
96,32,0.18505061762165625,0.00499732028232785,3,2,11,tanh,adam,0.626164305042473,0.2515964240102171,0.07662835249042145,0.621457828419537,0.2910871642424886,0.7982120051085568,0.6453143380561522,0.26345609065155806,0.12181303116147309,0.6337130110232105,0.04478683454826593,0.7932011331444759,models/zone_4/trial_008.h5
96,32,0.2447985774854444,0.009973284522111719,1,3,22,relu,adam,0.6569621216532127,0.2697495183044316,0.09120102761721259,0.6506009543865233,0.2230827376965676,0.7867694283879255,0.690368153331614,0.28362573099415206,0.12573099415204678,0.678822439408157,-0.07121445042275165,0.783625730994152,models/zone_4/trial_009.h5
64,64,0.20056564799272528,0.005536726703190722,1,3,30,relu,rmsprop,0.6377413339576549,0.25952227243382825,0.07617817947062622,0.6331752474715275,0.27036665968836926,0.7908327953518399,0.7049865162000988,0.2994011976047904,0.11976047904191617,0.6947398186973328,-0.09538485854275325,0.7694610778443114,models/zone_4/trial_010.h5
