lstm_units,batch_size,dropout_rate,learning_rate,lag_days,num_layers,sequence_length,activation_function,optimizer,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
96,16,0.11000430208906678,0.0027575428905075015,1,1,30,relu,adam,0.8295697236544567,0.37443511943189156,0.07876049063912201,0.825822445516236,0.5313558273363326,0.7424144609425436,1.527198523225228,0.8473053892215568,0.2844311377245509,1.5004780095802919,0.4546007177354441,0.5688622754491018,models/zone_1/trial_001.h5
32,16,0.30214211524134493,0.00027509433714179764,1,3,27,tanh,adam,0.8985239901219901,0.3949742268041237,0.18492268041237114,0.8792888962643884,0.44935740392772483,0.7396907216494846,1.6692363967898474,0.9169139465875371,0.4362017804154303,1.6112349782481639,0.3450771561501399,0.5489614243323442,models/zone_1/trial_002.h5
32,16,0.48288522888271246,0.0033725795056751416,1,2,10,tanh,rmsprop,0.8854031932015768,0.42319949012109626,0.012746972594008922,0.8853114306396571,0.4605772826804575,0.7049075844486934,1.5126584522688322,0.8587570621468926,0.14124293785310735,1.506049808514633,0.4445144005098829,0.5451977401129944,models/zone_1/trial_003.h5
64,16,0.3208162525092908,0.00829575259588742,3,2,25,relu,adam,0.97817682292478,0.5740979381443299,-0.22100515463917525,0.9528833184236833,0.3474028290763539,0.5676546391752577,1.6266584457454627,0.9823008849557522,-0.02654867256637168,1.626441781036139,0.3759276437847867,0.4690265486725664,models/zone_1/trial_004.h5
32,32,0.21118944124403685,0.006360487598201358,2,1,18,tanh,adam,0.8293494515706349,0.39294871794871794,0.041666666666666664,0.8283021198266981,0.5289249290592823,0.716025641025641,1.4820701035738877,0.8034682080924855,0.24855491329479767,1.4610791378240022,0.47451720168819544,0.5751445086705202,models/zone_1/trial_005.h5
32,64,0.3539913152788241,0.005346057371526783,1,1,21,tanh,rmsprop,0.8924875449953118,0.4319640564826701,0.04813863928112965,0.8911883579692454,0.4550299462126617,0.6944801026957638,1.538618516324144,0.8571428571428571,0.18075801749271136,1.527963833959304,0.43717540931264587,0.5539358600583091,models/zone_1/trial_006.h5
96,32,0.43714076807592384,0.007762239116346986,1,1,17,tanh,rmsprop,0.9251777695392814,0.5102432778489117,-0.10435339308578745,0.9192737756518257,0.41315157952712545,0.614596670934699,1.5193279266515078,0.8904899135446686,0.11815561959654179,1.5147265754125157,0.44682540630261636,0.5043227665706052,models/zone_1/trial_007.h5
96,32,0.18505061762165625,0.00499732028232785,3,2,11,tanh,adam,0.8312233825043462,0.39208173690932313,0.03959131545338442,0.8302799764914468,0.5253036519478409,0.723499361430396,1.4692311685466297,0.7932011331444759,0.28895184135977336,1.4405370734568725,0.4768376789833396,0.5892351274787535,models/zone_1/trial_008.h5
96,32,0.2447985774854444,0.009973284522111719,1,3,22,relu,adam,0.8590445918518902,0.3705844572896596,0.18304431599229287,0.8393166203363868,0.4953663220438618,0.7572254335260116,1.6312016164319763,0.8538011695906432,0.5497076023391813,1.5357865298864948,0.3684825684387383,0.5935672514619883,models/zone_1/trial_009.h5
64,64,0.20056564799272528,0.005536726703190722,1,3,30,relu,rmsprop,0.9026179555384582,0.4131697869593286,0.10716591349257586,0.8962335859839933,0.44518860609610855,0.7275661717236928,1.706802171516843,0.9610778443113772,0.38622754491017963,1.662528777569659,0.31877599275556745,0.5329341317365269,models/zone_1/trial_010.h5
96,16,0.3030726698417301,0.0010730441197490728,3,2,27,relu,adam,0.8112117578838661,0.36258064516129035,0.03096774193548387,0.8106204506971494,0.5516363995240143,0.752258064516129,1.6504652702521811,0.8664688427299704,0.2433234421364985,1.6324304918787356,0.3597239929135553,0.5934718100890207,models/zone_1/trial_011.h5
96,32,0.29544228321157917,0.0011275585759557417,2,2,14,relu,adam,0.8439645815043185,0.3567774936061381,0.21483375959079284,0.816163384729948,0.5111407033046831,0.7666240409207161,1.5611351181569317,0.82,0.4257142857142857,1.5019687760008968,0.4123320702721325,0.5914285714285714,models/zone_1/trial_012.h5
96,16,0.15135658579990513,0.004758070957206326,3,1,15,tanh,adam,0.8934962044404844,0.4731113956466069,-0.06594110115236876,0.8910596155860532,0.45265521291722177,0.6408450704225352,1.4843983277461184,0.8681948424068768,0.1174785100286533,1.479742273200614,0.4695838982414394,0.501432664756447,models/zone_1/trial_013.h5
32,64,0.22468651652035798,0.009951542073042339,3,2,21,tanh,adam,0.8230297030064275,0.35218508997429304,0.13753213367609254,0.8114572103551423,0.537030654050372,0.7673521850899743,1.5118578920369088,0.8046647230320699,0.3673469387755102,1.4665505488344228,0.4565831538191064,0.5889212827988338,models/zone_1/trial_014.h5
32,16,0.12839723440361303,0.006314718543128288,1,1,8,tanh,adam,0.884839421611017,0.4684914067472947,-0.05346912794398472,0.8832224263422148,0.4607130098908213,0.6435391470401018,1.511194185129277,0.8623595505617978,0.21629213483146068,1.4956355096007143,0.4431163993473509,0.5084269662921348,models/zone_1/trial_015.h5
32,64,0.15292473949001,0.009355787263400904,3,3,22,relu,rmsprop,0.8969401360832515,0.4508038585209003,-0.1022508038585209,0.8910928014675733,0.45042820327521693,0.6868167202572347,1.5072922160488336,0.8742690058479532,0.07309941520467836,1.5055186149822715,0.460781269974615,0.5292397660818714,models/zone_1/trial_016.h5
32,64,0.36138219530631666,0.006465335715436894,1,2,30,tanh,adam,0.8582565238979707,0.39186571981923823,0.05874757908327954,0.8562435300574726,0.498383676351553,0.7327307940606843,1.4975029115363616,0.8413173652694611,0.2125748502994012,1.4823383227455422,0.4756045411859404,0.5508982035928144,models/zone_1/trial_017.h5
64,16,0.44979438162823204,0.0007630950348591508,3,1,8,relu,adam,0.8441301842755646,0.3862332695984704,0.06118546845124283,0.841909797101507,0.5096954488103671,0.7316762268961122,1.5686536129124782,0.8314606741573034,0.34269662921348315,1.5307622864537416,0.3999630575993597,0.5758426966292135,models/zone_1/trial_018.h5
64,32,0.2925433671884158,0.008647857436361853,1,1,19,relu,rmsprop,0.8522218322021863,0.3891025641025641,0.09294871794871795,0.847137879635742,0.5025833593887854,0.7339743589743589,1.4987917839360487,0.8202898550724638,0.3739130434782609,1.4514013392273781,0.46350531929835825,0.5565217391304348,models/zone_1/trial_019.h5
64,32,0.37863660144006506,0.007307748120980505,3,3,29,tanh,adam,0.8168920745720992,0.3624031007751938,0.07687338501291989,0.8132669575086421,0.545805095577584,0.751937984496124,1.512139928769525,0.8417910447761194,0.23283582089552238,1.4941066376557637,0.46438709569689585,0.5701492537313433,models/zone_1/trial_020.h5
64,64,0.4677548523328301,0.005315950091352707,1,3,9,relu,adam,0.8673115353568506,0.4082802547770701,0.06305732484076433,0.8650162271003843,0.48213169015992396,0.7133757961783439,1.5382448384761742,0.8225352112676056,0.35492957746478876,1.4967371773759273,0.42459092312442115,0.5746478873239437,models/zone_1/trial_021.h5
96,16,0.26768996613434903,0.0058408861700193345,3,2,15,relu,rmsprop,0.820667727259907,0.35979513444302175,0.1613316261203585,0.8046537298610514,0.5382464185957636,0.7580025608194623,1.5706841536737166,0.8567335243553008,0.3868194842406877,1.522307261105158,0.40612709543027214,0.5730659025787965,models/zone_1/trial_022.h5
32,16,0.28331420904743443,0.00998455986413588,1,1,24,relu,rmsprop,0.8441209587055903,0.37556270096463024,0.04630225080385852,0.8428501020327052,0.5132489602149803,0.7491961414790996,1.4702940882294102,0.8147058823529412,0.21470588235294116,1.4545329456445453,0.4892662110460744,0.5705882352941176,models/zone_1/trial_023.h5
32,32,0.2139949564866627,0.004387463884347021,3,3,16,relu,rmsprop,0.8221002462365936,0.36194746957078794,0.0723894939141576,0.8189069397881055,0.5368861725151067,0.7565663036515055,1.5802298683361258,0.8477011494252874,0.23850574712643677,1.5621272180489238,0.4005708622398415,0.5804597701149425,models/zone_1/trial_024.h5
96,16,0.3870448748555192,0.0020439371501512547,3,2,23,tanh,rmsprop,0.943036525972292,0.4247104247104247,0.16988416988416988,0.9276083538545004,0.3928014147802694,0.7213642213642214,1.6926614071621613,0.9002932551319648,0.47214076246334313,1.6254801566665524,0.32193651594835326,0.5718475073313783,models/zone_1/trial_025.h5
32,16,0.23342261544203527,0.0013168884104100057,2,1,30,tanh,rmsprop,0.8789822632575967,0.4263565891472868,0.027131782945736434,0.8785634214304807,0.47413639333087176,0.6950904392764858,1.5466788835638363,0.8772455089820359,0.17664670658682635,1.5365583327405123,0.4405981687684465,0.5329341317365269,models/zone_1/trial_026.h5
96,16,0.31823611568220894,0.008347604248661307,3,3,11,tanh,adam,0.8449383512239773,0.3767560664112388,0.0983397190293742,0.8391961135695977,0.509509688426697,0.7407407407407407,1.5626664217321191,0.8328611898016998,0.41359773371104813,1.5069383730856911,0.4081812064089747,0.5864022662889519,models/zone_1/trial_027.h5
32,32,0.4120464967485771,0.008842505667495578,2,3,30,relu,adam,0.8797168912698731,0.43023255813953487,0.0012919896640826874,0.8797159425338601,0.47325702275115744,0.6957364341085271,1.5476464650682737,0.8562874251497006,0.3532934131736527,1.5067824478160192,0.4398980413200966,0.5538922155688623,models/zone_1/trial_028.h5
64,64,0.4456256113501118,0.008109385672578146,2,1,29,relu,rmsprop,0.8373156407512108,0.37314396384764364,0.11878631375080698,0.8288469665216285,0.5225632537403914,0.7456423499031634,1.5150981446954852,0.8388059701492537,0.3194029850746269,1.481048318315483,0.4622893950273014,0.5552238805970149,models/zone_1/trial_029.h5
32,32,0.23986336977836747,0.008207158445905905,1,1,7,relu,rmsprop,0.9153066478191801,0.4675572519083969,-0.15458015267175573,0.902159207646833,0.4226408180373362,0.6723918575063613,1.4082589525051579,0.8123249299719888,0.01680672268907563,1.4081586598758598,0.5155815183643431,0.5434173669467787,models/zone_1/trial_030.h5
64,32,0.35659269544305106,0.004002787059757008,3,2,7,relu,rmsprop,0.8599363033736118,0.4121019108280255,0.027388535031847135,0.859500037235998,0.49090168693960345,0.7089171974522293,1.5475651789806066,0.8263305322128851,0.31092436974789917,1.5160092412284791,0.4150031048043973,0.5770308123249299,models/zone_1/trial_031.h5
64,32,0.3424835413224573,0.005119116366098086,2,3,13,tanh,adam,0.8345571418442208,0.36166134185303517,0.1623003194888179,0.8186233745117607,0.5217333280250224,0.7565495207667732,1.468569084753985,0.8062678062678063,0.36752136752136755,1.4218379658422335,0.47907533897441124,0.5811965811965812,models/zone_1/trial_032.h5
64,32,0.12798952445052408,0.0066457344722636105,2,3,17,relu,rmsprop,0.8605526880393414,0.39077514413837283,0.019218449711723255,0.8603380615097846,0.49255015680328285,0.7399103139013453,1.540986622087437,0.829971181556196,0.11527377521613832,1.5366690359995767,0.4309414916271609,0.5965417867435159,models/zone_1/trial_033.h5
64,64,0.39925382406355603,0.0017485331586673401,3,2,19,relu,rmsprop,0.9211534879678732,0.4544287548138639,-0.0012836970474967907,0.9211525935029814,0.41945978154161057,0.6829268292682927,1.6097528840868984,0.9101449275362319,0.2492753623188406,1.590335229304469,0.38112742639062225,0.5449275362318841,models/zone_1/trial_034.h5
64,32,0.37025089327604,0.005116628228777125,3,1,28,relu,rmsprop,0.8597596012734745,0.3841187863137508,0.1000645577792124,0.8539166565059934,0.4966251616323648,0.7411233053582956,1.558387444947959,0.8392857142857143,0.27976190476190477,1.5330703523372369,0.4301486481992618,0.5744047619047619,models/zone_1/trial_035.h5
